chr	start	end	name	score	strand	NormedTC_ENCFF289OFA	NormedTC_ENCFF647KDW	NormedTC_HepG2_RBFOX2	BC_HepG2_RBFOX2	annotation	gene	external_gene_name	grouped_annotation
chr1	16249	16269	chr1-8932	4.64	-	0.4752	0.9509	1.426	2	Deep intronic	ENSG00000227232.6	WASH7P	Genic
chr1	17484	17504	chr1-228	59.1	-	5.7019	13.0745	18.7764	2	Proximal intronic	ENSG00000227232.6	WASH7P	Genic
chr1	22718	22738	chr1-6708	6.95	-	0.7127	0.7132	1.4259	2	First intron	ENSG00000227232.6	WASH7P	Genic
chr1	186723	186743	chr1-8933	5.79	-	0.4752	1.1886	1.6637	2	Deep intronic	ENSG00000279457.4	WASH9P	Genic
chr1	187983	188003	chr1-4164	8.11	-	1.1879	0.7132	1.901	2	Deep intronic	ENSG00000279457.4	WASH9P	Genic
chr1	188077	188097	chr1-1448	23.2	-	1.4255	3.3281	4.7535	2	Deep intronic	ENSG00000279457.4	WASH9P	Genic
chr1	189461	189481	chr1-8934	4.64	-	0.4752	0.9509	1.426	2	LINE	ENSG00000279457.4	WASH9P	TE
chr1	193273	193293	chr1-2773	10.4	-	1.1879	1.664	2.8519	2	First intron	ENSG00000279457.4	WASH9P	Genic
chr1	629509	629529	chr1-12467	4.64	-	0.2376	0.7132	0.9507	2	tRNA*	ENSG00000225880.7	LINC00115	ncRNA
chr1	629937	629957	chr1-12468	5.79	+	0.9503	0.2377	1.188	2	Other exon	ENSG00000225630.1	MTND2P28	Genic
chr1	630717	630737	chr1-1680	66.1	+	5.4643	8.0824	13.5467	2	TSS-proximal			Genic
chr1	632625	632645	chr1-1098	26.7	-	1.663	3.8035	5.4665	2	tRNA*	ENSG00000225880.7	LINC00115	ncRNA
chr1	632661	632681	chr1-8935	6.95	+	0.9503	0.7132	1.6635	2	TSS-proximal			Genic
chr1	634007	634027	chr1-262	41.7	+	6.177	6.1807	12.3577	2	Other exon	ENSG00000248527.1	MTATP6P1	Genic
chr1	634020	634040	chr1-8936	4.64	-	1.4255	0.4754	1.9009	2	Deep intronic	ENSG00000225880.7	LINC00115	Genic
chr1	736825	736845	chr1-3374	19.7	-	1.663	2.8526	4.5157	2	Deep intronic	ENSG00000225880.7	LINC00115	Genic
chr1	846529	846549	chr1-147	69.5	+	6.8898	9.271	16.1608	2	LINE	ENSG00000228794.13	LINC01128	TE
chr1	855753	855773	chr1-8937	5.79	+	0.2376	0.9509	1.1885	2	First intron	ENSG00000228794.13	LINC01128	Genic
chr1	943659	943679	chr1-6709	8.11	-	0.4752	1.1886	1.6637	2	3'UTR	ENSG00000188976.12		Genic
chr1	944975	944995	chr1-3375	11.6	-	0.4752	3.8035	4.2786	2	Proximal intronic	ENSG00000188976.12		Genic
chr1	947752	947772	chr1-2774	16.2	-	1.663	2.1395	3.8025	2	Deep intronic	ENSG00000188976.12		Genic
chr1	947825	947845	chr1-2302	12.7	-	1.9006	2.1395	4.0401	2	Deep intronic	ENSG00000188976.12		Genic
chr1	947906	947926	chr1-1967	15.1	-	2.8509	2.3772	5.2281	2	Deep intronic	ENSG00000188976.12		Genic
chr1	949094	949114	chr1-1681	17.4	-	1.9006	3.3281	5.2287	2	Deep intronic	ENSG00000188976.12		Genic
chr1	949228	949248	chr1-626	25.5	-	5.2267	2.8526	8.0793	2	Deep intronic	ENSG00000188976.12		Genic
chr1	950137	950157	chr1-2304	12.7	-	2.3758	1.1886	3.5644	2	Deep intronic	ENSG00000188976.12		Genic
chr1	950727	950747	chr1-1266	18.5	-	3.3261	1.9017	5.2278	2	Deep intronic	ENSG00000188976.12		Genic
chr1	950926	950946	chr1-2305	11.6	-	1.9006	2.3772	4.2778	2	Deep intronic	ENSG00000188976.12		Genic
chr1	952716	952736	chr1-627	26.7	-	2.6134	4.5166	7.13	2	Deep intronic	ENSG00000188976.12		Genic
chr1	952819	952839	chr1-628	27.8	-	2.8509	4.7544	7.6053	2	Deep intronic	ENSG00000188976.12		Genic
chr1	952986	953006	chr1-523	34.8	-	4.514	4.9921	9.5061	2	Deep intronic	ENSG00000188976.12		Genic
chr1	955032	955052	chr1-6713	10.4	-	1.663	1.4263	3.0894	2	Deep intronic	ENSG00000188976.12		Genic
chr1	955137	955157	chr1-2306	13.9	-	1.9006	2.1395	4.0401	2	Deep intronic	ENSG00000188976.12		Genic
chr1	955771	955791	chr1-2776	11.6	-	1.4255	1.9017	3.3272	2	Deep intronic	ENSG00000188976.12		Genic
chr1	955878	955898	chr1-2307	16.2	-	2.8509	2.1395	4.9904	2	Deep intronic	ENSG00000188976.12		Genic
chr1	957875	957895	chr1-6715	6.95	-	0.7127	0.9509	1.6636	2	LINE	ENSG00000188976.12		TE
chr1	959222	959242	chr1-4171	11.6	-	1.663	2.6149	4.2779	2	5'UTR	ENSG00000188976.12		Genic
chr1	960448	960468	chr1-394	40.6	+	8.0777	10.6973	18.775	2	TSS-proximal			Genic
chr1	960821	960841	chr1-311	44	+	5.9394	8.0824	14.0219	2	First intron	ENSG00000187961.16		Genic
chr1	960905	960925	chr1-263	62.6	+	9.7407	16.1648	25.9055	2	First intron	ENSG00000187961.16		Genic
chr1	961032	961052	chr1-863	29	+	4.514	8.5578	13.0718	2	Satellite/LC	ENSG00000187961.16		TE
chr1	961152	961172	chr1-695	29	+	2.6134	6.1807	8.794	2	First intron	ENSG00000187961.16		Genic
chr1	961580	961600	chr1-696	24.3	+	1.4255	4.9921	6.4175	2	Proximal intronic	ENSG00000187961.16		Genic
chr1	962187	962207	chr1-435	33.6	+	5.7019	8.3201	14.022	2	Proximal intronic	ENSG00000187961.16		Genic
chr1	962522	962542	chr1-524	38.2	+	4.7516	7.3693	12.1208	2	Proximal intronic	ENSG00000187961.16		Genic
chr1	963218	963238	chr1-697	31.3	+	4.9891	5.943	10.9321	2	CDS	ENSG00000187961.16		Genic
chr1	963341	963361	chr1-698	23.2	+	1.663	3.0903	4.7534	2	CDS	ENSG00000187961.16		Genic
chr1	963700	963720	chr1-1099	18.5	+	3.3261	2.6149	5.941	2	Proximal intronic	ENSG00000187961.16		Genic
chr1	963849	963869	chr1-1267	23.2	+	2.1382	3.8035	5.9417	2	CDS	ENSG00000187961.16		Genic
chr1	965431	965451	chr1-963	26.7	+	2.1382	3.8035	5.9417	2	3'UTR	ENSG00000187961.16		Genic
chr1	965566	965586	chr1-2311	12.7	+	1.1879	1.9017	3.0896	2	3'UTR	ENSG00000187961.16		Genic
chr1	965783	965803	chr1-2779	11.6	+	1.9006	2.1395	4.0401	2	3'UTR-distal			Genic
chr1	973678	973698	chr1-5205	8.11	+	0.9503	1.4263	2.3766	2	3'UTR-distal	ENSG00000187583.12		Genic
chr1	976965	976985	chr1-6723	8.11	+	0.9503	0.9509	1.9012	2	3'UTR-distal			Genic
chr1	995804	995824	chr1-12500	4.64	-	0.7127	0.4754	1.1882	2	3'UTR-distal			Genic
chr1	996539	996559	chr1-6724	8.11	-	1.9006	0.4754	2.3761	2	3'UTR-distal	ENSG00000272512.1	""	Genic
chr1	998651	998671	chr1-1969	17.4	-	3.8012	2.1395	5.9407	2	3'UTR-distal			Genic
chr1	998897	998917	chr1-2312	12.7	-	2.6134	0.9509	3.5642	2	3'UTR-distal			Genic
chr1	999808	999828	chr1-1268	19.7	-	1.663	4.7544	6.4174	2	CDS	ENSG00000188290.12		Genic
chr1	1000189	1000209	chr1-964	23.2	-	1.1879	4.9921	6.18	2	TSS-proximal			Genic
chr1	1000241	1000261	chr1-1269	17.4	-	3.3261	2.8526	6.1787	2	TSS-proximal			Genic
chr1	1000519	1000539	chr1-12507	6.95	+	0.7127	0.7132	1.4259	2	TSS-proximal			Genic
chr1	1003871	1003891	chr1-8965	5.79	-	0.2376	0.9509	1.1885	2	Deep intronic			Genic
chr1	1020271	1020291	chr1-1683	12.7	+	2.6134	3.5658	6.1791	2	3'UTR-distal	ENSG00000188157.16	AGRN	Genic
chr1	1020862	1020882	chr1-2780	12.7	+	1.663	1.1886	2.8516	2	3'UTR-distal	ENSG00000188157.16	AGRN	Genic
chr1	1022233	1022253	chr1-2781	12.7	+	1.9006	0.9509	2.8515	2	3'UTR-distal	ENSG00000188157.16	AGRN	Genic
chr1	1023346	1023366	chr1-1684	15.1	+	2.1382	1.4263	3.5645	2	3'UTR-distal	ENSG00000188157.16	AGRN	Genic
chr1	1029537	1029557	chr1-5214	6.95	+	1.663	0.9509	2.6139	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1033180	1033200	chr1-1685	17.4	+	0.9503	3.3281	4.2784	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1034380	1034400	chr1-6744	9.27	+	1.1879	1.1886	2.3765	2	5'UTR	ENSG00000188157.16	AGRN	Genic
chr1	1035349	1035369	chr1-1970	16.2	+	2.3758	3.0903	5.4661	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1036148	1036168	chr1-699	22	+	2.6134	4.7544	7.3677	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
