chr	start	end	name	score	strand	signal	coverage	fraction	pvalue	qvalue	annotation	gene	external_gene_name	grouped_annotation
chr1	167788927	167788928	del:chr1:167788927:+	1000	+	399	678	0.5885	0	0	3'UTR	ENSG00000197965.13	""	Genic
chr1	167788928	167788929	del:chr1:167788928:+	1000	+	388	675	0.5748	0	0	3'UTR	ENSG00000197965.13	""	Genic
chr1	167788926	167788927	del:chr1:167788926:+	1000	+	389	677	0.5746	0	0	3'UTR	ENSG00000197965.13	""	Genic
chr1	167788925	167788926	del:chr1:167788925:+	1000	+	380	683	0.5564	0	0	3'UTR	ENSG00000197965.13	""	Genic
chr1	167788924	167788925	del:chr1:167788924:+	1000	+	357	683	0.5227	0	0	3'UTR	ENSG00000197965.13	""	Genic
chr1	167788929	167788930	del:chr1:167788929:+	1000	+	345	676	0.5104	0	0	3'UTR	ENSG00000197965.13	""	Genic
chr1	167788923	167788924	del:chr1:167788923:+	1000	+	331	684	0.4839	0	0	3'UTR	ENSG00000197965.13	""	Genic
chr1	167788930	167788931	del:chr1:167788930:+	1000	+	324	675	0.48	0	0	3'UTR	ENSG00000197965.13	""	Genic
chr1	167788931	167788932	del:chr1:167788931:+	1000	+	301	675	0.4459	0	0	3'UTR	ENSG00000197965.13	""	Genic
chr1	167788932	167788933	del:chr1:167788932:+	1000	+	295	674	0.4377	0	0	3'UTR	ENSG00000197965.13	""	Genic
chr1	167788933	167788934	del:chr1:167788933:+	1000	+	232	672	0.3452	0	0	3'UTR	ENSG00000197965.13	""	Genic
chr1	167788934	167788935	del:chr1:167788934:+	1000	+	212	672	0.3155	0	0	3'UTR	ENSG00000197965.13	""	Genic
chr1	222733141	222733142	del:chr1:222733141:+	1000	+	147	505	0.2911	0	0	3'UTR	ENSG00000162819.13	""	Genic
chr1	222733142	222733143	del:chr1:222733142:+	1000	+	147	505	0.2911	0	0	3'UTR	ENSG00000162819.13	""	Genic
chr1	222733143	222733144	del:chr1:222733143:+	1000	+	147	509	0.2888	0	0	3'UTR	ENSG00000162819.13	""	Genic
chr1	222733144	222733145	del:chr1:222733144:+	1000	+	144	508	0.2835	0	0	3'UTR	ENSG00000162819.13	""	Genic
chr1	222733140	222733141	del:chr1:222733140:+	1000	+	139	503	0.2763	0	0	3'UTR	ENSG00000162819.13	""	Genic
chr1	167788935	167788936	del:chr1:167788935:+	1000	+	186	677	0.2747	0	0	3'UTR	ENSG00000197965.13	""	Genic
chr1	167788922	167788923	del:chr1:167788922:+	1000	+	165	683	0.2416	0	0	3'UTR	ENSG00000197965.13	""	Genic
chr1	222733145	222733146	del:chr1:222733145:+	1000	+	132	513	0.2573	1.6688243138804e-308	1.6923703938804e-308	3'UTR	ENSG00000162819.13	""	Genic
chr1	222733139	222733140	del:chr1:222733139:+	1000	+	123	503	0.2445	1.599e-288	1.897e-285	3'UTR	ENSG00000162819.13	""	Genic
chr1	222733146	222733147	del:chr1:222733146:+	1000	+	113	518	0.2181	7.259e-259	8.22e-256	3'UTR	ENSG00000162819.13	""	Genic
chr1	26475246	26475247	del:chr1:26475246:+	1000	+	109	440	0.2477	1.339e-256	1.45e-253	3'UTR	ENSG00000198830.14	""	Genic
chr1	23787719	23787720	del:chr1:23787719:+	1000	+	74	154	0.4805	5.348e-201	5.329e-198	3'UTR	ENSG00000057757.11	""	Genic
