chr	start	end	name	score	strand	annotation	gene	external_gene_name	grouped_annotation	pval
chr10	2196002	2196003	CITS_4[gene=chr10_f_c39][PH=7][PH0=0.00][P=1.00e-100]	7	+	Satellite/LC	""	""	TE	1e-100
chr10	2586557	2586558	CITS_5[gene=chr10_f_c39][PH=4][PH0=0.00][P=1.51e-09]	4	+	Deep intronic	ENSG00000235281.3	""	Genic	1.51e-09
chr10	5702655	5702656	CITS_6[gene=chr10_f_c211][PH=4][PH0=0.00][P=1.26e-06]	4	+	Satellite/LC	ENSG00000108021.23	""	TE	1.26e-06
chr10	5760804	5760805	CITS_8[gene=chr10_f_c211][PH=4][PH0=0.00][P=1.26e-06]	4	+	Deep intronic	ENSG00000108021.23	""	Genic	1.26e-06
chr10	5903495	5903496	CITS_11[gene=chr10_f_c211][PH=5][PH0=0.00][P=1.00e-100]	5	+	Alu	ENSG00000134452.21	""	TE	1e-100
chr10	6165372	6165373	CITS_12[gene=chr10_f_c211][PH=5][PH0=0.00][P=1.00e-100]	5	+	LTR/ERV	ENSG00000170525.22	""	TE	1e-100
chr10	7847395	7847396	CITS_21[gene=chr10_f_c215][PH=4][PH0=0.00][P=2.17e-07]	4	+	Deep intronic	ENSG00000165632.9	TAF3	Genic	2.17e-07
chr10	7910547	7910548	CITS_23[gene=chr10_f_c215][PH=4][PH0=0.00][P=2.17e-07]	4	+	Alu	ENSG00000165632.9	TAF3	TE	2.17e-07
chr10	9830556	9830557	CITS_26[gene=chr10_f_c284][PH=4][PH0=0.09][P=3.87e-04]	4	+	Alu	""	""	TE	0.000387
chr10	10598850	10598851	CITS_27[gene=chr10_f_c380][PH=6][PH0=0.00][P=1.00e-100]	6	+	Alu	""	""	TE	1e-100
chr10	10598920	10598921	CITS_28[gene=chr10_f_c380][PH=4][PH0=0.00][P=4.89e-10]	4	+	Alu	""	""	TE	4.89e-10
chr10	10855716	10855717	CITS_29[gene=chr10_f_c380][PH=15][PH0=0.00][P=1.00e-100]	15	+	First intron	ENSG00000048740.20	""	Genic	1e-100
chr10	11221943	11221944	CITS_30[gene=chr10_f_c578][PH=6][PH0=0.00][P=1.00e-100]	6	+	Deep intronic	ENSG00000048740.20	""	Genic	1e-100
chr10	12069883	12069884	CITS_32[gene=chr10_f_c592][PH=4][PH0=0.00][P=9.04e-07]	4	+	First intron	ENSG00000181192.13	""	Genic	9.04e-07
chr10	12281907	12281908	CITS_39[gene=chr10_f_c592][PH=8][PH0=0.00][P=1.00e-100]	8	+	Alu	""	""	TE	1e-100
chr10	13217317	13217318	CITS_42[gene=chr10_f_c686][PH=5][PH0=0.00][P=1.00e-100]	5	+	3'UTR-distal	ENSG00000272055.1	RNU6-6P	Genic	1e-100
chr10	14903559	14903560	CITS_47[gene=chr10_f_c743][PH=5][PH0=0.00][P=1.00e-15]	5	+	3'UTR	ENSG00000152455.17	""	Genic	1e-15
chr10	14908316	14908317	CITS_48[gene=chr10_f_c743][PH=4][PH0=0.00][P=4.25e-07]	4	+	3'UTR-distal	""	""	Genic	4.25e-07
chr10	15197124	15197125	CITS_51[gene=chr10_f_c743][PH=20][PH0=0.00][P=1.00e-100]	20	+	Deep intronic	ENSG00000304413.1	""	Genic	1e-100
chr10	16440241	16440242	CITS_52[gene=chr10_f_c843][PH=5][PH0=0.00][P=1.00e-100]	5	+	Alu	ENSG00000165983.16	""	TE	1e-100
chr10	18774623	18774624	CITS_57[gene=chr10_f_c885][PH=5][PH0=0.00][P=1.00e-100]	5	+	Other SINE	ENSG00000234244.3	""	TE	1e-100
chr10	21554995	21554996	CITS_59[gene=chr10_f_c949][PH=5][PH0=0.00][P=1.64e-08]	5	+	Alu	ENSG00000078403.18	""	TE	1.64e-08
chr10	21565772	21565773	CITS_60[gene=chr10_f_c949][PH=4][PH0=0.00][P=1.79e-05]	4	+	Alu	ENSG00000078403.18	""	TE	1.79e-05
chr10	24745584	24745585	CITS_61[gene=chr10_f_c955][PH=4][PH0=0.00][P=6.76e-09]	4	+	Alu	""	""	TE	6.76e-09
chr10	24884006	24884007	CITS_63[gene=chr10_f_c955][PH=4][PH0=0.00][P=6.76e-09]	4	+	Alu	""	""	TE	6.76e-09
chr10	26696043	26696044	CITS_66[gene=chr10_f_c998][PH=6][PH0=0.00][P=1.00e-100]	6	+	Alu	""	""	TE	1e-100
chr10	28539418	28539419	CITS_72[gene=chr10_f_c1082][PH=4][PH0=0.00][P=1.12e-06]	4	+	Deep intronic	ENSG00000095787.27	""	Genic	1.12e-06
chr10	28554178	28554179	CITS_76[gene=chr10_f_c1082][PH=4][PH0=0.00][P=1.12e-06]	4	+	Deep intronic	ENSG00000095787.27	""	Genic	1.12e-06
chr10	28563459	28563460	CITS_80[gene=chr10_f_c1082][PH=4][PH0=0.00][P=1.12e-06]	4	+	Deep intronic	ENSG00000095787.27	""	Genic	1.12e-06
chr10	28646640	28646641	CITS_83[gene=chr10_f_c1082][PH=4][PH0=0.00][P=1.12e-06]	4	+	Alu	""	""	TE	1.12e-06
chr10	28667966	28667967	CITS_84[gene=chr10_f_c1082][PH=11][PH0=0.00][P=1.00e-100]	11	+	Other exon	ENSG00000207483.1	RNU6-1067P	Genic	1e-100
chr10	33865380	33865381	CITS_88[gene=chr10_f_c1296][PH=5][PH0=0.00][P=1.00e-100]	5	+	Alu	""	""	TE	1e-100
chr10	34536471	34536472	CITS_89[gene=chr10_f_c1296][PH=4][PH0=0.00][P=1.28e-09]	4	+	Deep intronic	""	""	Genic	1.28e-09
chr10	34597721	34597722	CITS_90[gene=chr10_f_c1296][PH=4][PH0=0.00][P=1.28e-09]	4	+	Deep intronic	""	""	Genic	1.28e-09
chr10	42734122	42734123	CITS_101[gene=chr10_f_c1522][PH=20][PH0=0.00][P=1.00e-100]	20	+	LINE	ENSG00000230425.1	RSU1P1	TE	1e-100
chr10	43449855	43449856	CITS_103[gene=chr10_f_c1609][PH=4][PH0=0.00][P=7.76e-09]	4	+	Alu	ENSG00000243660.13	""	TE	7.76e-09
chr10	45137329	45137330	CITS_105[gene=chr10_f_c1724][PH=5][PH0=0.00][P=1.00e-100]	5	+	LINE	ENSG00000235690.2	CUBNP3	TE	1e-100
chr10	45990738	45990739	CITS_108[gene=chr10_f_c1742][PH=5][PH0=0.00][P=1.00e-100]	5	+	LINE	ENSG00000265354.5	""	TE	1e-100
chr10	45991863	45991864	CITS_110[gene=chr10_f_c1742][PH=4][PH0=0.00][P=5.86e-07]	4	+	First intron	ENSG00000265354.5	""	Genic	5.86e-07
chr10	46792138	46792139	CITS_113[gene=chr10_f_c1742][PH=5][PH0=0.00][P=1.00e-100]	5	+	Deep intronic	ENSG00000204177.13	BMS1P1	Genic	1e-100
chr10	46798609	46798610	CITS_114[gene=chr10_f_c1742][PH=5][PH0=0.00][P=1.00e-100]	5	+	Deep intronic	ENSG00000204177.13	BMS1P1	Genic	1e-100
chr10	46799717	46799718	CITS_115[gene=chr10_f_c1742][PH=4][PH0=0.00][P=5.86e-07]	4	+	Deep intronic	ENSG00000204177.13	BMS1P1	Genic	5.86e-07
chr10	46804238	46804239	CITS_118[gene=chr10_f_c1742][PH=4][PH0=0.00][P=5.86e-07]	4	+	Deep intronic	ENSG00000291069.2	BMS1P1	Genic	5.86e-07
chr10	46806478	46806479	CITS_120[gene=chr10_f_c1742][PH=4][PH0=0.00][P=5.86e-07]	4	+	Deep intronic	ENSG00000291069.2	BMS1P1	Genic	5.86e-07
chr10	46807856	46807857	CITS_121[gene=chr10_f_c1742][PH=5][PH0=0.00][P=1.00e-100]	5	+	LINE	ENSG00000291069.2	BMS1P1	TE	1e-100
chr10	48800907	48800908	CITS_124[gene=chr10_f_c1784][PH=5][PH0=0.00][P=1.00e-100]	5	+	Alu	ENSG00000128815.21	""	TE	1e-100
chr10	49960366	49960367	CITS_130[gene=chr10_f_c1815][PH=5][PH0=0.00][P=1.25e-09]	5	+	LINE	ENSG00000178440.9	TIMM23B-AGAP6	TE	1.25e-09
chr10	49961497	49961498	CITS_132[gene=chr10_f_c1815][PH=4][PH0=0.00][P=1.89e-06]	4	+	Deep intronic	ENSG00000178440.9	TIMM23B-AGAP6	Genic	1.89e-06
chr10	49980061	49980062	CITS_139[gene=chr10_f_c1815][PH=7][PH0=0.00][P=1.00e-100]	7	+	3'UTR-distal	ENSG00000178440.9	TIMM23B-AGAP6	Genic	1e-100
chr10	49981121	49981122	CITS_140[gene=chr10_f_c1815][PH=4][PH0=0.00][P=1.89e-06]	4	+	3'UTR-distal	ENSG00000178440.9	TIMM23B-AGAP6	Genic	1.89e-06
chr10	50876771	50876772	CITS_142[gene=chr10_f_c1831][PH=8][PH0=0.00][P=1.00e-100]	8	+	LTR/ERV	""	""	TE	1e-100
chr10	54851736	54851737	CITS_144[gene=chr10_f_c1957][PH=4][PH0=0.00][P=1.00e-100]	4	+	Alu	""	""	TE	1e-100
chr10	60794351	60794352	CITS_146[gene=chr10_f_c2230][PH=7][PH0=0.00][P=1.00e-100]	7	+	3'UTR	ENSG00000170312.18	""	Genic	1e-100
chr10	68753987	68753988	CITS_167[gene=chr10_f_c2352][PH=6][PH0=0.00][P=1.00e-100]	6	+	CDS	ENSG00000060339.15	""	Genic	1e-100
chr10	68755168	68755169	CITS_168[gene=chr10_f_c2352][PH=9][PH0=0.00][P=1.00e-100]	9	+	Proximal intronic	ENSG00000060339.15	""	Genic	1e-100
chr10	69136671	69136672	CITS_177[gene=chr10_f_c2352][PH=4][PH0=0.00][P=3.24e-06]	4	+	LINE	ENSG00000122958.16	""	TE	3.24e-06
chr10	69477309	69477310	CITS_180[gene=chr10_f_c2352][PH=12][PH0=0.00][P=1.00e-100]	12	+	Alu	ENSG00000099282.11	""	TE	1e-100
chr10	70352230	70352231	CITS_181[gene=chr10_f_c2416][PH=9][PH0=0.00][P=1.00e-100]	9	+	Deep intronic	""	""	Genic	1e-100
chr10	70817633	70817634	CITS_184[gene=chr10_f_c2416][PH=5][PH0=0.00][P=1.00e-100]	5	+	First intron	ENSG00000166224.19	SGPL1	Genic	1e-100
chr10	71703776	71703777	CITS_186[gene=chr10_f_c2417][PH=24][PH0=0.00][P=1.00e-100]	24	+	Deep intronic	ENSG00000107736.23	""	Genic	1e-100
chr10	72626856	72626857	CITS_187[gene=chr10_f_c2417][PH=5][PH0=0.00][P=3.45e-09]	5	+	Alu	""	""	TE	3.45e-09
chr10	74230056	74230057	CITS_192[gene=chr10_f_c2417][PH=4][PH0=0.00][P=5.33e-06]	4	+	Satellite/LC	ENSG00000156110.16	""	TE	5.33e-06
chr10	74761575	74761576	CITS_196[gene=chr10_f_c2417][PH=5][PH0=0.00][P=3.45e-09]	5	+	Alu	""	""	TE	3.45e-09
chr10	75938707	75938708	CITS_202[gene=chr10_f_c2426][PH=7][PH0=0.00][P=1.00e-100]	7	+	First intron	ENSG00000148655.16	LRMDA	Genic	1e-100
chr10	78034937	78034938	CITS_207[gene=chr10_f_c2525][PH=5][PH0=0.03][P=1.11e-06]	5	+	First intron	ENSG00000138326.22	""	Genic	1.11e-06
chr10	78038808	78038809	CITS_209[gene=chr10_f_c2556][PH=11][PH0=0.23][P=2.24e-12]	11	+	Alu	ENSG00000138326.22	""	TE	2.24e-12
