chr	start	end	name	score	strand	annotation	gene	external_gene_name	grouped_annotation	pval
chr10	14025504	14025505	CITS_10[gene=chr10_f_c439][PH=6][PH0=0.00][P=1.00e-100]	6	+	3'UTR	ENSMUSG00000015501.11	Hivep2	Genic	1e-100
chr10	14025586	14025587	CITS_12[gene=chr10_f_c439][PH=5][PH0=0.00][P=1.00e-100]	5	+	3'UTR	ENSMUSG00000015501.11	Hivep2	Genic	1e-100
chr10	24769885	24769886	CITS_16[gene=chr10_f_c1015][PH=5][PH0=0.00][P=1.00e-100]	5	+	Deep intronic	ENSMUSG00000019984.17	Med23	Genic	1e-100
chr10	25349923	25349924	CITS_17[gene=chr10_f_c1048][PH=6][PH0=0.00][P=1.00e-100]	6	+	Deep intronic	ENSMUSG00000019978.17	Epb41l2	Genic	1e-100
chr10	25350089	25350090	CITS_18[gene=chr10_f_c1048][PH=5][PH0=0.00][P=2.51e-10]	5	+	Deep intronic	ENSMUSG00000019978.17	Epb41l2	Genic	2.51e-10
chr10	25350119	25350120	CITS_19[gene=chr10_f_c1048][PH=6][PH0=0.00][P=1.00e-100]	6	+	Deep intronic	ENSMUSG00000019978.17	Epb41l2	Genic	1e-100
chr10	25350319	25350320	CITS_20[gene=chr10_f_c1048][PH=4][PH0=0.00][P=4.00e-07]	4	+	Deep intronic	ENSMUSG00000019978.17	Epb41l2	Genic	4e-07
chr10	25351063	25351064	CITS_21[gene=chr10_f_c1048][PH=18][PH0=0.00][P=1.00e-100]	18	+	Deep intronic	ENSMUSG00000019978.17	Epb41l2	Genic	1e-100
chr10	25351195	25351196	CITS_22[gene=chr10_f_c1048][PH=18][PH0=0.00][P=1.00e-100]	18	+	Deep intronic	ENSMUSG00000019978.17	Epb41l2	Genic	1e-100
chr10	25351565	25351566	CITS_23[gene=chr10_f_c1048][PH=6][PH0=0.00][P=1.00e-100]	6	+	Deep intronic	ENSMUSG00000019978.17	Epb41l2	Genic	1e-100
chr10	25351663	25351664	CITS_24[gene=chr10_f_c1048][PH=18][PH0=0.00][P=1.00e-100]	18	+	Deep intronic	ENSMUSG00000019978.17	Epb41l2	Genic	1e-100
