chr	start	end	name	score	strand	NormedTC_ENCFF149LRA	NormedTC_ENCFF669MUY	NormedTC_K562_HNRNPC	BC_K562_HNRNPC	annotation	gene	external_gene_name	grouped_annotation
chr1	505726	505746	chr1-10584	6.61	-	1.2293	1.8238	3.0531	2	Alu	ENSG00000290385.2	""	TE
chr1	505735	505755	chr1-10585	4.88	-	1.3522	1.5859	2.9382	2	Alu	ENSG00000290385.2	""	TE
chr1	514147	514167	chr1-4604	10.9	-	2.5816	1.467	4.0485	2	Satellite/LC	ENSG00000290385.2	""	TE
chr1	514401	514421	chr1-848	7.75	-	0.6147	1.6652	2.2799	2	Proximal intronic	ENSG00000290385.2	""	Genic
chr1	629520	629540	chr1-693	22.1	-	2.2128	2.6564	4.8692	2	tRNA*	ENSG00000225880.7	LINC00115	ncRNA
chr1	629928	629948	chr1-299	287.8	+	52.9833	40.9564	93.9396	2	Other exon	ENSG00000225630.1	MTND2P28	Genic
chr1	630771	630791	chr1-3536	10.9	-	1.3522	1.1101	2.4624	2	First intron	ENSG00000225880.7	LINC00115	Genic
chr1	632076	632096	chr1-13963	4.59	+	0.7376	1.1498	1.8874	2	Other exon	ENSG00000237973.1	MTCO1P12	Genic
chr1	632628	632648	chr1-2106	52.8	-	3.4421	6.1851	9.6272	2	tRNA*	ENSG00000225880.7	LINC00115	ncRNA
chr1	632649	632669	chr1-6009	29.9	+	6.0236	2.3789	8.4025	2	TSS-proximal	""	""	Genic
chr1	634003	634023	chr1-189	219.4	+	42.2883	34.0973	76.3855	2	Other exon	ENSG00000248527.1	MTATP6P1	Genic
chr1	634026	634046	chr1-582	26.7	-	2.3357	6.6609	8.9966	2	Deep intronic	ENSG00000225880.7	LINC00115	Genic
chr1	634659	634679	chr1-2107	9.19	+	0.4917	1.3084	1.8001	2	Other exon	ENSG00000198744.5	MTCO3P12	Genic
chr1	745003	745023	chr1-4607	10.9	-	0.9834	1.467	2.4504	2	Alu	ENSG00000225880.7	LINC00115	TE
chr1	769189	769209	chr1-10591	25.6	-	2.2128	2.8943	5.1071	2	Alu	ENSG00000225880.7	LINC00115	TE
chr1	852987	853007	chr1-10592	12.6	+	1.1064	1.7445	2.8509	2	Alu	ENSG00000228794.13	LINC01128	TE
chr1	945113	945133	chr1-849	7.75	-	1.4752	0.9912	2.4664	2	CDS	ENSG00000188976.12	""	Genic
chr1	945518	945538	chr1-18775	2.87	-	1.1064	0.7533	1.8597	2	CDS	ENSG00000188976.12	""	Genic
chr1	954640	954660	chr1-8006	10.3	-	1.3522	1.3084	2.6606	2	Alu	ENSG00000188976.12	""	TE
chr1	954798	954818	chr1-10595	10.1	-	1.1064	1.2291	2.3355	2	Alu	ENSG00000188976.12	""	TE
chr1	956993	957013	chr1-1678	5.74	-	0.8605	0.8326	1.6931	2	CDS	ENSG00000188976.12	""	Genic
chr1	1055056	1055076	chr1-487	17.8	+	2.9503	3.4097	6.3601	2	3'UTR	ENSG00000188157.16	AGRN	Genic
chr1	1055776	1055796	chr1-10598	4.59	+	0.7376	0.9516	1.6891	2	3'UTR	ENSG00000188157.16	AGRN	Genic
chr1	1104788	1104808	chr1-1679	12.1	-	1.4752	1.5066	2.9818	2	5'UTR	ENSG00000131591.19	""	Genic
chr1	1105478	1105498	chr1-4608	8.33	-	0.6147	1.1498	1.7644	2	Alu	ENSG00000131591.19	""	TE
chr1	1111339	1111359	chr1-6012	10.3	-	0.8605	1.3877	2.2482	2	Alu	ENSG00000131591.19	""	TE
chr1	1111517	1111537	chr1-2108	7.47	-	1.721	1.4273	3.1484	2	Alu	ENSG00000131591.19	""	TE
chr1	1111676	1111696	chr1-6013	7.18	-	0.8605	1.1894	2.05	2	5'UTR	ENSG00000131591.19	""	Genic
chr1	1115050	1115070	chr1-4609	10.9	-	0.7376	1.9031	2.6407	2	5'UTR	ENSG00000131591.19	""	Genic
chr1	1115316	1115336	chr1-13976	6.89	-	0.7376	1.2687	2.0063	2	First intron	ENSG00000131591.19	""	Genic
chr1	1221614	1221634	chr1-1081	34.2	-	3.1962	4.1234	7.3196	2	Alu	ENSG00000078808.21	""	TE
chr1	1221921	1221941	chr1-1353	16.9	-	1.1064	2.3392	3.4456	2	Alu	ENSG00000078808.21	""	TE
chr1	1256802	1256822	chr1-3541	8.04	-	0.9834	0.793	1.7764	2	Alu	ENSG00000160087.22	""	TE
chr1	1256864	1256884	chr1-850	85.9	-	7.0071	10.1102	17.1173	2	Alu	ENSG00000160087.22	""	TE
chr1	1263966	1263986	chr1-6015	7.18	-	1.4752	0.8326	2.3078	2	Alu	ENSG00000160087.22	""	TE
chr1	1264717	1264737	chr1-13980	7.75	-	1.2293	0.7533	1.9826	2	Alu	ENSG00000160087.22	""	TE
