chr	start	end	name	score	strand	NormedTC_ENCFF462CMF	NormedTC_ENCFF942TPA	NormedTC_K562_RBFOX2	BC_K562_RBFOX2	annotation	gene	external_gene_name	grouped_annotation
chr1	16254	16274	chr1-4382	12.9	-	2.0387	1.9814	4.0201	2	Deep intronic	ENSG00000227232.6	WASH7P	Genic
chr1	17485	17505	chr1-884	44.2	-	6.4379	8.586	15.0239	2	Proximal intronic	ENSG00000227232.6	WASH7P	Genic
chr1	139289	139309	chr1-3388	11.6	+	2.8971	0.4403	3.3374	2	Deep intronic	""	""	Genic
chr1	139444	139464	chr1-5787	7.48	-	0.8584	2.4217	3.2801	2	Deep intronic	ENSG00000241860.8	""	Genic
chr1	502656	502676	chr1-1639	21.1	-	1.8241	5.5038	7.3279	2	Proximal intronic	ENSG00000290385.2	""	Genic
chr1	514143	514163	chr1-332	53	-	7.2963	18.9332	26.2296	2	Satellite/LC	ENSG00000290385.2	""	TE
chr1	514404	514424	chr1-584	18.4	-	2.146	3.3023	5.4483	2	First intron	ENSG00000290385.2	""	Genic
chr1	517578	517598	chr1-2614	10.2	-	1.073	3.7426	4.8156	2	Alu	ENSG00000290385.2	""	TE
chr1	629511	629531	chr1-2078	27.2	-	3.219	2.2015	5.4205	2	tRNA*	ENSG00000225880.7	LINC00115	ncRNA
chr1	629929	629949	chr1-585	74.1	+	11.6956	7.0449	18.7405	2	Other exon	ENSG00000225630.1	MTND2P28	Genic
chr1	630845	630865	chr1-586	34	-	3.6482	3.9628	7.6109	2	First intron	ENSG00000225880.7	LINC00115	Genic
chr1	634002	634022	chr1-729	36.7	+	7.2963	4.6232	11.9196	2	Other exon	ENSG00000248527.1	MTATP6P1	Genic
chr1	634026	634046	chr1-4383	7.48	-	1.8241	2.2015	4.0256	2	Deep intronic	ENSG00000225880.7	LINC00115	Genic
chr1	846543	846563	chr1-5790	12.9	+	1.2876	2.2015	3.4891	2	LINE	ENSG00000228794.13	LINC01128	TE
chr1	944523	944543	chr1-1640	13.6	-	4.7212	2.862	7.5832	2	3'UTR	ENSG00000188976.12	""	Genic
chr1	945962	945982	chr1-7670	10.9	-	1.5022	1.9814	3.4836	2	Deep intronic	ENSG00000188976.12	""	Genic
chr1	947046	947066	chr1-2615	11.6	-	1.5022	1.9814	3.4836	2	Alu	ENSG00000188976.12	""	TE
chr1	948699	948719	chr1-2616	12.2	-	1.7168	4.1829	5.8997	2	Deep intronic	ENSG00000188976.12	""	Genic
chr1	950059	950079	chr1-587	15.6	-	3.1117	5.9442	9.0558	2	Deep intronic	ENSG00000188976.12	""	Genic
chr1	950400	950420	chr1-2618	15.6	-	2.146	2.4217	4.5677	2	Deep intronic	ENSG00000188976.12	""	Genic
chr1	950704	950724	chr1-3389	14.3	-	2.8971	3.7426	6.6397	2	Deep intronic	ENSG00000188976.12	""	Genic
chr1	952629	952649	chr1-3390	10.2	-	1.7168	1.5411	3.2579	2	Deep intronic	ENSG00000188976.12	""	Genic
chr1	953873	953893	chr1-472	15	-	2.146	2.862	5.008	2	CDS	ENSG00000188976.12	""	Genic
chr1	954067	954087	chr1-1096	17	-	3.0044	1.9814	4.9858	2	CDS	ENSG00000188976.12	""	Genic
chr1	954182	954202	chr1-885	19.7	-	3.1117	3.0822	6.1938	2	CDS	ENSG00000188976.12	""	Genic
chr1	954336	954356	chr1-1097	34	-	5.5795	9.0263	14.6059	2	Proximal intronic	ENSG00000188976.12	""	Genic
chr1	954640	954660	chr1-4391	18.4	-	2.4679	2.862	5.3299	2	Alu	ENSG00000188976.12	""	TE
chr1	954799	954819	chr1-1352	37.4	-	3.219	7.2651	10.4841	2	Alu	ENSG00000188976.12	""	TE
chr1	955124	955144	chr1-1642	17.7	-	3.7555	4.6232	8.3787	2	Deep intronic	ENSG00000188976.12	""	Genic
chr1	955862	955882	chr1-2081	16.3	-	3.219	6.1643	9.3833	2	Deep intronic	ENSG00000188976.12	""	Genic
chr1	957010	957030	chr1-1643	13.6	-	1.9314	1.5411	3.4725	2	CDS	ENSG00000188976.12	""	Genic
chr1	959232	959252	chr1-1353	15	-	2.5752	1.3209	3.8961	2	5'UTR	ENSG00000188976.12	""	Genic
chr1	960918	960938	chr1-1644	20.4	+	5.9014	4.4031	10.3045	2	First intron	ENSG00000187961.16	""	Genic
chr1	962295	962315	chr1-588	18.4	+	3.1117	1.7612	4.8729	2	CDS	ENSG00000187961.16	""	Genic
chr1	963241	963261	chr1-1354	13.6	+	3.7555	2.6418	6.3973	2	CDS	ENSG00000187961.16	""	Genic
chr1	963348	963368	chr1-886	12.9	+	2.8971	1.5411	4.4382	2	CDS	ENSG00000187961.16	""	Genic
chr1	963591	963611	chr1-1098	14.3	+	2.8971	2.862	5.7591	2	Deep intronic	ENSG00000187961.16	""	Genic
chr1	963869	963889	chr1-2082	11.6	+	2.5752	1.9814	4.5566	2	CDS	ENSG00000187961.16	""	Genic
chr1	965354	965374	chr1-1645	35.4	+	5.4722	1.9814	7.4536	2	3'UTR	ENSG00000187961.16	""	Genic
chr1	999793	999813	chr1-4397	9.52	-	1.6095	1.7612	3.3707	2	CDS	ENSG00000188290.12	""	Genic
chr1	1022341	1022361	chr1-4398	7.48	+	1.2876	1.9814	3.269	2	3'UTR-distal	ENSG00000188157.16	AGRN	Genic
chr1	1035988	1036008	chr1-2626	10.9	+	2.2533	3.3023	5.5556	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1036388	1036408	chr1-2627	12.2	+	2.0387	4.1829	6.2216	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1036628	1036648	chr1-2083	14.3	+	2.5752	2.2015	4.7767	2	Satellite/LC	ENSG00000188157.16	AGRN	TE
chr1	1036947	1036967	chr1-5810	8.84	+	0.9657	2.4217	3.3874	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1037603	1037623	chr1-1646	20.4	+	2.146	5.5038	7.6498	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1038701	1038721	chr1-1647	18.4	+	3.7555	5.2837	9.0392	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1038910	1038930	chr1-589	40.8	+	4.0774	12.1085	16.1858	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1039265	1039285	chr1-333	38.1	+	5.1504	11.6682	16.8185	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1040672	1040692	chr1-730	14.3	+	2.3606	2.862	5.2226	2	CDS	ENSG00000188157.16	AGRN	Genic
chr1	1042272	1042292	chr1-1649	12.9	+	2.2533	2.2015	4.4548	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1042913	1042933	chr1-2630	13.6	+	2.146	2.862	5.008	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1044346	1044366	chr1-473	14.3	+	1.073	2.2015	3.2745	2	CDS	ENSG00000188157.16	AGRN	Genic
chr1	1045745	1045765	chr1-590	16.3	+	2.4679	1.5411	4.009	2	CDS	ENSG00000188157.16	AGRN	Genic
chr1	1046158	1046178	chr1-888	15.6	+	3.1117	3.5225	6.6341	2	CDS	ENSG00000188157.16	AGRN	Genic
chr1	1046824	1046844	chr1-591	19	+	2.7898	2.4217	5.2115	2	CDS	ENSG00000188157.16	AGRN	Genic
chr1	1046984	1047004	chr1-2632	21.8	+	3.7555	3.9628	7.7182	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1047226	1047246	chr1-3398	17.7	+	4.6139	1.5411	6.1549	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1047789	1047809	chr1-592	13.6	+	2.3606	1.1008	3.4613	2	CDS	ENSG00000188157.16	AGRN	Genic
chr1	1048464	1048484	chr1-1653	14.3	+	3.5409	3.7426	7.2835	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1049915	1049935	chr1-1099	12.9	+	2.6825	1.5411	4.2236	2	CDS	ENSG00000188157.16	AGRN	Genic
chr1	1050326	1050346	chr1-4415	10.2	+	1.3949	1.7612	3.1561	2	CDS	ENSG00000188157.16	AGRN	Genic
chr1	1051460	1051480	chr1-889	15.6	+	3.219	1.3209	4.5399	2	CDS	ENSG00000188157.16	AGRN	Genic
chr1	1051845	1051865	chr1-1100	17.7	+	3.6482	2.2015	5.8497	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1051992	1052012	chr1-2086	16.3	+	3.1117	2.862	5.9737	2	CDS	ENSG00000188157.16	AGRN	Genic
chr1	1052282	1052302	chr1-1357	21.8	+	3.0044	3.7426	6.747	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1053046	1053066	chr1-272	45.6	+	7.8328	10.3472	18.1801	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1054079	1054099	chr1-1360	19.7	+	3.5409	4.1829	7.7238	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1054484	1054504	chr1-1659	18.4	+	3.5409	1.5411	5.0819	2	CDS	ENSG00000188157.16	AGRN	Genic
chr1	1055063	1055083	chr1-475	47.6	+	9.7642	6.1643	15.9285	2	3'UTR	ENSG00000188157.16	AGRN	Genic
chr1	1055409	1055429	chr1-1361	19.7	+	4.3993	1.9814	6.3806	2	3'UTR	ENSG00000188157.16	AGRN	Genic
chr1	1055669	1055689	chr1-2089	19	+	3.6482	2.2015	5.8497	2	3'UTR	ENSG00000188157.16	AGRN	Genic
chr1	1055771	1055791	chr1-1660	19	+	6.2233	1.9814	8.2047	2	3'UTR	ENSG00000188157.16	AGRN	Genic
chr1	1055853	1055873	chr1-1102	15	+	3.7555	1.5411	5.2965	2	3'UTR	ENSG00000188157.16	AGRN	Genic
chr1	1056052	1056072	chr1-1661	12.2	+	1.9314	1.9814	3.9128	2	3'UTR	ENSG00000188157.16	AGRN	Genic
chr1	1065321	1065341	chr1-1662	13.6	+	2.3606	0.8806	3.2412	2	3'UTR-distal	ENSG00000217801.13	""	Genic
chr1	1088740	1088760	chr1-4422	10.2	-	1.9314	1.3209	3.2523	2	Deep intronic	ENSG00000131591.19	""	Genic
chr1	1089418	1089438	chr1-4423	10.2	-	2.2533	1.3209	3.5742	2	Deep intronic	ENSG00000131591.19	""	Genic
chr1	1089815	1089835	chr1-3404	10.9	-	1.6095	2.6418	4.2513	2	Deep intronic	ENSG00000131591.19	""	Genic
chr1	1090056	1090076	chr1-2638	9.52	-	1.3949	1.7612	3.1561	2	Proximal intronic	ENSG00000131591.19	""	Genic
chr1	1110658	1110678	chr1-3406	8.84	-	1.2876	2.862	4.1496	2	First intron	ENSG00000131591.19	""	Genic
chr1	1112553	1112573	chr1-1664	12.9	-	2.2533	4.1829	6.4362	2	5'UTR	ENSG00000131591.19	""	Genic
chr1	1115053	1115073	chr1-3407	14.3	-	1.1803	2.4217	3.602	2	5'UTR	ENSG00000131591.19	""	Genic
chr1	1115995	1116015	chr1-5836	8.16	-	2.0387	1.7612	3.7999	2	Satellite/LC	ENSG00000131591.19	""	TE
chr1	1219571	1219591	chr1-2091	15.6	-	1.7168	3.7426	5.4594	2	Deep intronic	ENSG00000078808.21	""	Genic
chr1	1219643	1219663	chr1-2092	15	-	3.1117	3.9628	7.0744	2	Deep intronic	ENSG00000078808.21	""	Genic
chr1	1220585	1220605	chr1-2641	12.9	-	2.5752	1.7612	4.3364	2	Deep intronic	ENSG00000078808.21	""	Genic
chr1	1220725	1220745	chr1-2642	12.2	-	2.4679	1.7612	4.2291	2	Deep intronic	ENSG00000078808.21	""	Genic
chr1	1221611	1221631	chr1-2095	40.1	-	4.1847	5.724	9.9087	2	Alu	ENSG00000078808.21	""	TE
chr1	1221919	1221939	chr1-3410	15.6	-	2.0387	1.7612	3.7999	2	Alu	ENSG00000078808.21	""	TE
chr1	1222923	1222943	chr1-2643	11.6	-	2.6825	2.4217	5.1042	2	Deep intronic	ENSG00000078808.21	""	Genic
chr1	1243810	1243830	chr1-2644	18.4	-	4.1847	2.862	7.0467	2	Satellite/LC	ENSG00000184163.3	C1QTNF12	TE
chr1	1255754	1255774	chr1-2645	11.6	-	3.0044	1.9814	4.9858	2	Proximal intronic	ENSG00000160087.22	""	Genic
chr1	1256859	1256879	chr1-3412	30.6	-	4.0774	1.7612	5.8386	2	Alu	ENSG00000160087.22	""	TE
chr1	1263977	1263997	chr1-10509	11.6	-	1.073	2.2015	3.2745	2	Alu	ENSG00000160087.22	""	TE
chr1	1267515	1267535	chr1-7751	6.12	-	1.5022	1.7612	3.2634	2	First intron	ENSG00000160087.22	""	Genic
chr1	1268178	1268198	chr1-2646	11.6	-	1.3949	2.862	4.2569	2	5'UTR	ENSG00000160087.22	""	Genic
chr1	1269846	1269866	chr1-4435	8.84	-	2.4679	2.6418	5.1097	2	First intron	ENSG00000160087.22	""	Genic
chr1	1269896	1269916	chr1-2647	11.6	-	1.5022	1.9814	3.4836	2	LTR/ERV	ENSG00000160087.22	""	TE
chr1	1270692	1270712	chr1-10514	8.84	-	1.1803	2.4217	3.602	2	First intron	ENSG00000160087.22	""	Genic
chr1	1272909	1272929	chr1-4437	9.52	-	2.2533	1.9814	4.2347	2	5'UTR	ENSG00000160087.22	""	Genic
chr1	1294166	1294186	chr1-2096	11.6	-	1.9314	1.3209	3.2523	2	CDS	ENSG00000131584.20	""	Genic
chr1	1294959	1294979	chr1-2097	20.4	-	3.4336	1.9814	5.415	2	Deep intronic	ENSG00000131584.20	""	Genic
chr1	1295019	1295039	chr1-890	17.7	-	4.7212	4.6232	9.3444	2	Deep intronic	ENSG00000131584.20	""	Genic
chr1	1295196	1295216	chr1-891	30.6	-	5.9014	7.0449	12.9464	2	Deep intronic	ENSG00000131584.20	""	Genic
chr1	1295921	1295941	chr1-1104	15	-	1.7168	1.7612	3.478	2	CDS	ENSG00000131584.20	""	Genic
chr1	1296042	1296062	chr1-3414	12.2	-	2.2533	2.4217	4.675	2	CDS	ENSG00000131584.20	""	Genic
chr1	1296246	1296266	chr1-398	15	-	2.0387	1.5411	3.5798	2	CDS	ENSG00000131584.20	""	Genic
chr1	1296618	1296638	chr1-733	12.9	-	2.5752	0.8806	3.4558	2	CDS	ENSG00000131584.20	""	Genic
chr1	1297903	1297923	chr1-892	16.3	-	1.9314	2.2015	4.1329	2	CDS	ENSG00000131584.20	""	Genic
chr1	1298137	1298157	chr1-593	32	-	6.3306	5.2837	11.6143	2	Proximal intronic	ENSG00000131584.20	""	Genic
chr1	1298682	1298702	chr1-1106	25.2	-	7.8328	4.8434	12.6762	2	Proximal intronic	ENSG00000131584.20	""	Genic
chr1	1298916	1298936	chr1-1667	20.4	-	5.365	3.5225	8.8874	2	Proximal intronic	ENSG00000131584.20	""	Genic
chr1	1299285	1299305	chr1-735	31.3	-	6.8671	6.6046	13.4718	2	Deep intronic	ENSG00000131584.20	""	Genic
