chr	start	end	name	score	strand	NormedTC_SRR1107532	NormedTC_SRR1107533	NormedTC_SRR1107534	NormedTC_RBFOX2	BC_RBFOX2	annotation	gene	external_gene_name	grouped_annotation
chr1	3371893	3371913	chr1-283	62.4	-	0	0	20.7863	20.7863	1	Deep intronic	ENSMUSG00000051951.6	Xkr4	Genic
chr1	3661944	3661964	chr1-284	46.8	-	11.6991	2.8533	5.1966	19.7489	3	First intron	ENSMUSG00000051951.6	Xkr4	Genic
chr1	3734952	3734972	chr1-286	46.8	-	11.6991	2.8533	5.1966	19.7489	3	Other SINE	ENSMUSG00000051951.6	Xkr4	TE
chr1	9793908	9793928	chr1-102	124.8	-	35.0972	2.8533	20.7863	58.7368	3	3'UTR	ENSMUSG00000045210.9	Vcpip1	Genic
chr1	9794549	9794569	chr1-156	93.6	-	0	8.5598	20.7863	29.3462	2	3'UTR	ENSMUSG00000045210.9	Vcpip1	Genic
chr1	9796794	9796814	chr1-287	46.8	-	0	8.5598	0	8.5598	1	Satellite/LC	ENSMUSG00000045210.9	Vcpip1	TE
chr1	10208396	10208416	chr1-288	46.8	-	0	8.5598	0	8.5598	1	3'UTR	ENSMUSG00000067851.12	Arfgef1	Genic
chr1	10374344	10374364	chr1-157	78	-	0	0	25.9829	25.9829	1	Satellite/LC			TE
chr1	12387881	12387901	chr1-291	46.8	-	0	0	15.5898	15.5898	1	LINE			TE
chr1	12445191	12445211	chr1-59	187.1	+	0	5.7065	51.9659	57.6724	2	Other exon	ENSMUSG00000118923.1	Gm22633	Genic
chr1	12907122	12907142	chr1-292	46.8	+	0	8.5598	0	8.5598	1	Satellite/LC	ENSMUSG00000016918.16	Sulf1	TE
chr1	13232101	13232121	chr1-293	62.4	-	35.0972	0	5.1966	40.2937	2	Proximal intronic	ENSMUSG00000005886.15	Ncoa2	Genic
chr1	13392795	13392815	chr1-294	46.8	-	0	0	15.5898	15.5898	1	First intron	ENSMUSG00000005886.15	Ncoa2	Genic
chr1	13410264	13410284	chr1-158	46.8	-	11.6991	5.7065	10.3932	27.7988	3	First intron	ENSMUSG00000005886.15	Ncoa2	Genic
chr1	15451515	15451535	chr1-295	46.8	+	0	8.5598	0	8.5598	1	First intron	ENSMUSG00000092083.5	Kcnb2	Genic
chr1	15661332	15661352	chr1-296	46.8	+	0	8.5598	0	8.5598	1	First intron	ENSMUSG00000092083.5	Kcnb2	Genic
chr1	16174830	16174850	chr1-297	62.4	-	11.6991	2.8533	10.3932	24.9455	3	5'UTR	ENSMUSG00000043716.14	Rpl7	Genic
chr1	16434529	16434549	chr1-60	62.4	-	0	5.7065	20.7863	26.4929	2	Deep intronic	ENSMUSG00000025920.20	Stau2	Genic
chr1	20073903	20073923	chr1-300	46.8	+	0	0	15.5898	15.5898	1	Satellite/LC			TE
chr1	20509802	20509822	chr1-301	46.8	-	0	8.5598	0	8.5598	1	Satellite/LC	ENSMUSG00000043760.17	Pkhd1	TE
chr1	20744379	20744399	chr1-61	93.6	+	35.0972	5.7065	5.1966	46.0003	3	LINE	ENSMUSG00000099906.3	Lincmd1	TE
chr1	21006747	21006767	chr1-302	46.8	+	23.3981	2.8533	0	26.2514	2	3'UTR	ENSMUSG00000025931.16	Paqr8	Genic
chr1	21472210	21472230	chr1-25	218.3	-	46.7962	37.0925	83.1454	167.0341	3	3'UTR	ENSMUSG00000028033.17	Kcnq5	Genic
chr1	21479647	21479667	chr1-103	78	+	0	14.2664	0	14.2664	1	Satellite/LC			TE
chr1	21528315	21528335	chr1-104	109.2	-	0	14.2664	10.3932	24.6595	2	Deep intronic	ENSMUSG00000028033.17	Kcnq5	Genic
chr1	21811867	21811887	chr1-304	62.4	-	23.3981	5.7065	0	29.1046	2	First intron	ENSMUSG00000028033.17	Kcnq5	Genic
chr1	21849701	21849721	chr1-305	46.8	-	0	0	15.5898	15.5898	1	Other SINE	ENSMUSG00000028033.17	Kcnq5	TE
chr1	21991806	21991826	chr1-160	62.4	-	0	8.5598	5.1966	13.7564	2	Other SINE	ENSMUSG00000028033.17	Kcnq5	TE
chr1	21995342	21995362	chr1-62	78	-	23.3981	19.9729	5.1966	48.5676	3	First intron	ENSMUSG00000028033.17	Kcnq5	Genic
chr1	22357127	22357147	chr1-18	218.3	-	70.1943	17.1196	72.7522	160.0661	3	3'UTR	ENSMUSG00000041670.20	Rims1	Genic
chr1	22358506	22358526	chr1-310	62.4	-	11.6991	8.5598	0	20.2589	2	3'UTR	ENSMUSG00000041670.20	Rims1	Genic
chr1	22485018	22485038	chr1-161	62.4	-	11.6991	8.5598	5.1966	25.4554	3	Deep intronic	ENSMUSG00000041670.20	Rims1	Genic
chr1	22498502	22498522	chr1-162	78	-	23.3981	5.7065	5.1966	34.3012	3	Proximal intronic	ENSMUSG00000041670.20	Rims1	Genic
chr1	22499029	22499049	chr1-65	109.2	-	23.3981	8.5598	20.7863	52.7443	3	Proximal intronic	ENSMUSG00000041670.20	Rims1	Genic
chr1	22502354	22502374	chr1-66	109.2	-	11.6991	11.4131	10.3932	33.5053	3	Deep intronic	ENSMUSG00000041670.20	Rims1	Genic
chr1	22502417	22502437	chr1-31	124.8	-	23.3981	14.2664	10.3932	48.0576	3	Deep intronic	ENSMUSG00000041670.20	Rims1	Genic
chr1	22515474	22515494	chr1-317	62.4	-	0	8.5598	5.1966	13.7564	2	Deep intronic	ENSMUSG00000041670.20	Rims1	Genic
