chr	start	end	name	score	strand	tagNumber(k)	mutationFreq(m)	FDR	count(>=m,k)	annotation	gene	external_gene_name	grouped_annotation
chr6	3201115	3201116	chr6_f_c7[k=4315][m=78]	78	+	4315	78	0	1	Deep intronic	ENSMUSG00000133541.1	""	Genic
chr17	40157917	40157918	chr17_f_c63[k=4455][m=78]	78	+	4455	78	0	1	Other exon	ENSMUSG00000119584.1	Rn18s-rs5	Genic
chr19	5847752	5847753	chr19_r_c18[k=478][m=43]	43	-	478	43	0	1	Other exon	ENSMUSG00000092341.7	Malat1	Genic
chr6	3201090	3201091	chr6_f_c6[k=590][m=32]	32	+	590	32	0	1	Deep intronic	ENSMUSG00000133541.1	""	Genic
chr17	40157892	40157893	chr17_f_c62[k=591][m=32]	32	+	591	32	0	1	Other exon	ENSMUSG00000119584.1	Rn18s-rs5	Genic
chrX	23874756	23874757	chrX_f_c10[k=392][m=30]	30	+	392	30	0	1	Deep intronic	""	""	Genic
chr10	82791142	82791143	chr10_r_c72[k=3587][m=26]	26	-	3587	26	0	1	Deep intronic	""	""	Genic
chr17	40158387	40158388	chr17_f_c83[k=3909][m=26]	26	+	3909	26	0	1	Other exon	ENSMUSG00000119584.1	Rn18s-rs5	Genic
chr2	136624292	136624293	chr2_f_c176[k=57][m=20]	20	+	57	20	0	1	3'UTR	ENSMUSG00000027273.14	Snap25	Genic
chr17	40157733	40157734	chr17_f_c55[k=127][m=16]	16	+	127	16	0	1	Other exon	ENSMUSG00000119584.1	Rn18s-rs5	Genic
chr6	3200931	3200932	chr6_f_c2[k=127][m=16]	16	+	127	16	0	1	Deep intronic	ENSMUSG00000133541.1	""	Genic
chr3	136642143	136642144	chr3_f_c101[k=39][m=14]	14	+	39	14	0	1	3'UTR	ENSMUSG00000028161.18	Ppp3ca	Genic
chr6	3201474	3201475	chr6_f_c18[k=188][m=14]	14	+	188	14	0	1	Deep intronic	ENSMUSG00000133541.1	""	Genic
chr9	123291164	123291165	chr9_f_c136[k=96][m=12]	12	+	96	12	0	1	3'UTR	ENSMUSG00000035202.9	Lars2	Genic
chr16	35802111	35802112	chr16_r_c38[k=495][m=12]	12	-	495	12	0	1	First intron	ENSMUSG00000086324.11	Gm15564	Genic
chr3	129299152	129299153	chr3_r_c84[k=10][m=9]	9	-	10	9	0	1	Intergenic	""	""	Intergenic
chr1	164265689	164265690	chr1_r_c130[k=39][m=9]	9	-	39	9	0	1	3'UTR	ENSMUSG00000026576.13	Atp1b1	Genic
chr7	130436306	130436307	chr7_f_c121[k=123][m=7]	7	+	123	7	0	1	3'UTR-distal	""	""	Genic
chr16	17040287	17040288	chr16_f_c52[k=192][m=7]	7	+	192	7	0	1	3'UTR-distal	""	""	Genic
chr12	78397735	78397736	chr12_f_c49[k=194][m=7]	7	+	194	7	0	1	Deep intronic	ENSMUSG00000047454.13	Gphn	Genic
chr17	40158403	40158404	chr17_f_c85[k=4179][m=7]	7	+	4179	7	0	1	Other exon	ENSMUSG00000119584.1	Rn18s-rs5	Genic
chr17	40158276	40158277	chr17_f_c80[k=31][m=6]	6	+	31	6	0	1	Other exon	ENSMUSG00000119584.1	Rn18s-rs5	Genic
chr13	9884387	9884388	chr13_r_c3[k=170][m=6]	6	-	170	6	0	1	LINE	""	""	TE
chr17	40157982	40157983	chr17_f_c67[k=187][m=6]	6	+	187	6	0	1	Other exon	ENSMUSG00000119584.1	Rn18s-rs5	Genic
chr6	3201180	3201181	chr6_f_c8[k=188][m=6]	6	+	188	6	0	2	Deep intronic	ENSMUSG00000133541.1	""	Genic
chr17	40157843	40157844	chr17_f_c60[k=265][m=6]	6	+	265	6	0	1	Other exon	ENSMUSG00000119584.1	Rn18s-rs5	Genic
chr6	3201041	3201042	chr6_f_c4[k=265][m=6]	6	+	265	6	0	1	Deep intronic	ENSMUSG00000133541.1	""	Genic
chr2	158223286	158223287	chr2_f_c197[k=21][m=5]	5	+	21	5	0	1	Deep intronic	ENSMUSG00000044349.18	""	Genic
chr7	126616819	126616820	chr7_r_c90[k=32][m=5]	5	-	32	5	0	1	3'UTR	ENSMUSG00000045114.11	Prrt2	Genic
chr10	82791076	82791077	chr10_r_c68[k=237][m=5]	5	-	237	5	0	1	Deep intronic	""	""	Genic
chr17	40158454	40158455	chr17_f_c92[k=1590][m=5]	5	+	1590	5	0	1	Other exon	ENSMUSG00000119584.1	Rn18s-rs5	Genic
chr10	109054309	109054310	chr10_r_c94[k=1][m=4]	4	-	1	4	0	1	LINE	""	""	TE
chr1	117436341	117436342	chr1_f_c72[k=1][m=4]	4	+	1	4	0	5	LINE	""	""	TE
chr11	38509829	38509830	chr11_r_c43[k=1][m=4]	4	-	1	4	0	2	LTR/ERV	""	""	TE
chr1	149416348	149416349	chr1_f_c95[k=1][m=4]	4	+	1	4	0	5	LINE	""	""	TE
chr11	87099699	87099700	chr11_r_c91[k=1][m=4]	4	-	1	4	0	2	LTR/ERV	ENSMUSG00000141361.1	""	TE
chr1	21658807	21658808	chr1_r_c8[k=1][m=4]	4	-	1	4	0	5	LINE	ENSMUSG00000028033.17	Kcnq5	TE
chr13	11593788	11593789	chr13_r_c6[k=1][m=4]	4	-	1	4	0	3	LINE	ENSMUSG00000021313.18	Ryr2	TE
chr13	38811911	38811912	chr13_r_c25[k=1][m=4]	4	-	1	4	0	3	Deep intronic	ENSMUSG00000038982.11	Bloc1s5	Genic
chr13	79873880	79873881	chr13_f_c39[k=1][m=4]	4	+	1	4	0	3	LINE	""	""	TE
chr14	112364993	112364994	chr14_f_c58[k=1][m=4]	4	+	1	4	0	2	LINE	""	""	TE
chr14	74191526	74191527	chr14_r_c76[k=1][m=4]	4	-	1	4	0	2	Other exon	ENSMUSG00000138717.1	""	Genic
chr1	58687303	58687304	chr1_f_c20[k=1][m=4]	4	+	1	4	0	5	Deep intronic	""	""	Genic
chr17	18192497	18192498	chr17_r_c17[k=1][m=4]	4	-	1	4	0	1	LINE	""	""	TE
