chr	start	end	name	score	strand	signal	coverage	fraction	pvalue	qvalue	annotation	gene	external_gene_name	grouped_annotation
chr1	90011543	90011544	del:chr1:90011543:+	1000	+	4	8	0.5	1.148e-13	3.901e-12	Deep intronic	ENSG00000162664.18	""	Genic
chr1	168031723	168031724	del:chr1:168031723:+	1000	+	4	10	0.4	3.442e-13	3.901e-12	Deep intronic	ENSG00000143164.17	""	Genic
chr1	168031724	168031725	del:chr1:168031724:+	1000	+	4	10	0.4	3.442e-13	3.901e-12	Deep intronic	ENSG00000143164.17	""	Genic
chr1	86975296	86975297	del:chr1:86975296:+	885	+	3	6	0.5	1.63e-10	1.385e-09	Satellite/LC	ENSG00000153936.18	HS2ST1	TE
chr1	200074820	200074821	del:chr1:200074820:+	490	+	2	10	0.2	1.821e-06	1.238e-05	Deep intronic	ENSG00000116833.15	""	Genic
chr1	200074819	200074820	del:chr1:200074819:+	489	+	2	11	0.1818	2.225e-06	1.261e-05	Deep intronic	ENSG00000116833.15	""	Genic
chr1	35184209	35184210	del:chr1:35184209:-	1000	-	26	76	0.3421	1.203e-76	9.026e-75	3'UTR	ENSG00000116560.12	SFPQ	Genic
chr1	173864380	173864381	del:chr1:173864380:-	1000	-	12	237	0.0506	2.093e-25	7.848e-24	Proximal intronic	ENSG00000234741.11	GAS5	Genic
chr1	151446149	151446150	del:chr1:151446149:-	1000	-	4	7	0.5714	5.74e-14	1.076e-12	First intron	ENSG00000143442.24	POGZ	Genic
chr1	151446150	151446151	del:chr1:151446150:-	1000	-	4	7	0.5714	5.74e-14	1.076e-12	First intron	ENSG00000143442.24	POGZ	Genic
chr1	67410316	67410317	del:chr1:67410316:-	899	-	3	5	0.6	8.15e-11	1.019e-09	3'UTR	ENSG00000142864.16	""	Genic
chr1	67410317	67410318	del:chr1:67410317:-	899	-	3	5	0.6	8.15e-11	1.019e-09	3'UTR	ENSG00000142864.16	""	Genic
chr1	67410318	67410319	del:chr1:67410318:-	875	-	3	6	0.5	1.63e-10	1.746e-09	3'UTR	ENSG00000142864.16	""	Genic
chr1	28580933	28580934	del:chr1:28580933:-	524	-	2	6	0.3333	6.073e-07	5.693e-06	3'UTR-distal	ENSG00000197989.16	SNHG12	Genic
chr1	21172099	21172100	del:chr1:21172099:-	431	-	2	19	0.1053	6.911e-06	4.895e-05	First intron	ENSG00000075151.24	EIF4G3	Genic
chr1	77943963	77943964	del:chr1:77943963:-	431	-	2	19	0.1053	6.911e-06	4.895e-05	3'UTR-distal	""	""	Genic
chr1	150220194	150220195	del:chr1:150220194:-	431	-	2	21	0.0952	8.485e-06	4.895e-05	3'UTR	ENSG00000143401.16	""	Genic
chr1	150220195	150220196	del:chr1:150220195:-	431	-	2	21	0.0952	8.485e-06	4.895e-05	3'UTR	ENSG00000143401.16	""	Genic
chr1	205713235	205713236	del:chr1:205713235:-	431	-	2	21	0.0952	8.485e-06	4.895e-05	3'UTR	ENSG00000069275.14	""	Genic
chr1	23977840	23977841	del:chr1:23977840:-	408	-	2	29	0.069	1.639e-05	8.193e-05	First intron	ENSG00000188529.16	""	Genic
chr1	150220180	150220181	del:chr1:150220180:-	408	-	2	29	0.069	1.639e-05	8.193e-05	3'UTR	ENSG00000143401.16	""	Genic
chr10	113911924	113911925	del:chr10:113911924:+	467	+	2	12	0.1667	2.67e-06	2.136e-05	3'UTR	ENSG00000196865.5	""	Genic
chr10	65678665	65678666	del:chr10:65678665:+	279	+	1	5	0.2	0.001006	0.001609	LINE	ENSG00000228065.14	LINC01515	TE
chr10	81883364	81883365	del:chr10:81883364:+	279	+	1	5	0.2	0.001006	0.001609	First intron	ENSG00000185737.13	NRG3	Genic
chr10	91280540	91280541	del:chr10:91280540:+	279	+	1	5	0.2	0.001006	0.001609	3'UTR	ENSG00000180628.16	""	Genic
chr10	91280541	91280542	del:chr10:91280541:+	279	+	1	5	0.2	0.001006	0.001609	3'UTR	ENSG00000180628.16	""	Genic
chr10	123164968	123164969	del:chr10:123164968:+	279	+	1	6	0.1667	0.001207	0.001609	3'UTR	ENSG00000154473.19	""	Genic
chr10	22662632	22662633	del:chr10:22662632:-	271	-	1	5	0.2	0.001006	0.001931	First intron	ENSG00000150867.15	""	Genic
chr10	96521390	96521391	del:chr10:96521390:-	271	-	1	5	0.2	0.001006	0.001931	3'UTR	ENSG00000077147.17	""	Genic
chr10	96521391	96521392	del:chr10:96521391:-	271	-	1	5	0.2	0.001006	0.001931	3'UTR	ENSG00000077147.17	""	Genic
chr10	119581266	119581267	del:chr10:119581266:-	271	-	1	7	0.1429	0.001408	0.001931	Deep intronic	ENSG00000151923.19	""	Genic
chr10	116916162	116916163	del:chr10:116916162:-	271	-	1	8	0.125	0.001609	0.001931	Deep intronic	ENSG00000187164.21	""	Genic
chr10	124757718	124757719	del:chr10:124757718:-	269	-	1	10	0.1	0.002011	0.002011	3'UTR	ENSG00000203791.16	""	Genic
chr11	65502638	65502639	del:chr11:65502638:+	713	+	4	65	0.0615	1.1e-09	7.26e-08	First intron	ENSG00000251562.13	MALAT1	Genic
chr11	65502426	65502427	del:chr11:65502426:+	402	+	2	13	0.1538	3.155e-06	9.341e-05	First intron	ENSG00000251562.13	MALAT1	Genic
chr11	65505849	65505850	del:chr11:65505849:+	402	+	2	15	0.1333	4.246e-06	9.341e-05	Deep intronic	ENSG00000251562.13	MALAT1	Genic
chr11	65500820	65500821	del:chr11:65500820:+	399	+	2	18	0.1111	6.184e-06	0.000102	First intron	ENSG00000251562.13	MALAT1	Genic
chr11	67610119	67610120	del:chr11:67610119:+	355	+	2	39	0.0513	2.987e-05	0.0002816	Deep intronic	ENSG00000167792.14	""	Genic
chr11	67610120	67610121	del:chr11:67610120:+	355	+	2	39	0.0513	2.987e-05	0.0002816	Deep intronic	ENSG00000167792.14	""	Genic
chr11	67610121	67610122	del:chr11:67610121:+	355	+	2	39	0.0513	2.987e-05	0.0002816	Deep intronic	ENSG00000167792.14	""	Genic
chr11	2130528	2130529	del:chr11:2130528:-	1000	-	9	69	0.1304	3.038e-23	6.075e-22	3'UTR	ENSG00000167244.22	IGF2	Genic
chr12	65247620	65247621	del:chr12:65247620:+	464	+	2	6	0.3333	6.073e-07	2.247e-05	3'UTR	ENSG00000174106.4	""	Genic
chr12	6510533	6510534	del:chr12:6510533:+	430	+	2	12	0.1667	2.67e-06	4.939e-05	Proximal intronic	ENSG00000010292.14	""	Genic
chr12	5174662	5174663	del:chr12:5174662:+	266	+	1	5	0.2	0.001006	0.002171	LINE	ENSG00000256417.2	""	TE
chr12	19158838	19158839	del:chr12:19158838:+	266	+	1	5	0.2	0.001006	0.002171	Deep intronic	ENSG00000052126.18	""	Genic
chr12	22652377	22652378	del:chr12:22652377:+	266	+	1	5	0.2	0.001006	0.002171	LINE	ENSG00000139163.17	""	TE
chr12	22668020	22668021	del:chr12:22668020:+	266	+	1	5	0.2	0.001006	0.002171	Deep intronic	ENSG00000139163.17	""	Genic
chr12	22686796	22686797	del:chr12:22686796:+	266	+	1	5	0.2	0.001006	0.002171	3'UTR	ENSG00000139163.17	""	Genic
chr12	65850744	65850745	del:chr12:65850744:+	266	+	1	5	0.2	0.001006	0.002171	Deep intronic	ENSG00000149948.15	""	Genic
chr12	65965119	65965120	del:chr12:65965119:+	266	+	1	5	0.2	0.001006	0.002171	3'UTR	ENSG00000149948.15	""	Genic
chr12	65965120	65965121	del:chr12:65965120:+	266	+	1	5	0.2	0.001006	0.002171	3'UTR	ENSG00000149948.15	""	Genic
chr12	65965121	65965122	del:chr12:65965121:+	266	+	1	5	0.2	0.001006	0.002171	3'UTR	ENSG00000149948.15	""	Genic
chr12	81147866	81147867	del:chr12:81147866:+	266	+	1	5	0.2	0.001006	0.002171	Satellite/LC	ENSG00000111058.9	""	TE
chr12	81147867	81147868	del:chr12:81147867:+	266	+	1	5	0.2	0.001006	0.002171	Satellite/LC	ENSG00000111058.9	""	TE
chr12	22686797	22686798	del:chr12:22686797:+	266	+	1	6	0.1667	0.001207	0.002171	3'UTR	ENSG00000139163.17	""	Genic
chr12	43959775	43959776	del:chr12:43959775:+	266	+	1	6	0.1667	0.001207	0.002171	Deep intronic	ENSG00000139173.11	""	Genic
chr12	65965114	65965115	del:chr12:65965114:+	266	+	1	6	0.1667	0.001207	0.002171	3'UTR	ENSG00000149948.15	""	Genic
chr12	65965115	65965116	del:chr12:65965115:+	266	+	1	6	0.1667	0.001207	0.002171	3'UTR	ENSG00000149948.15	""	Genic
chr12	65965116	65965117	del:chr12:65965116:+	266	+	1	6	0.1667	0.001207	0.002171	3'UTR	ENSG00000149948.15	""	Genic
chr12	65965117	65965118	del:chr12:65965117:+	266	+	1	6	0.1667	0.001207	0.002171	3'UTR	ENSG00000149948.15	""	Genic
chr12	65965118	65965119	del:chr12:65965118:+	266	+	1	6	0.1667	0.001207	0.002171	3'UTR	ENSG00000149948.15	""	Genic
chr12	862946	862947	del:chr12:862946:+	266	+	1	7	0.1429	0.001408	0.002171	Deep intronic	ENSG00000060237.20	""	Genic
chr12	22686798	22686799	del:chr12:22686798:+	266	+	1	7	0.1429	0.001408	0.002171	3'UTR	ENSG00000139163.17	""	Genic
chr12	22686799	22686800	del:chr12:22686799:+	266	+	1	7	0.1429	0.001408	0.002171	3'UTR	ENSG00000139163.17	""	Genic
chr12	53467495	53467496	del:chr12:53467495:+	266	+	1	7	0.1429	0.001408	0.002171	Deep intronic	ENSG00000197111.17	""	Genic
chr12	30629844	30629845	del:chr12:30629844:-	499	-	2	5	0.4	4.049e-07	1.012e-05	3'UTR	ENSG00000133704.11	""	Genic
chr12	46368367	46368368	del:chr12:46368367:-	433	-	2	17	0.1176	5.498e-06	4.582e-05	First intron	ENSG00000134294.15	""	Genic
