chr	start	end	name	score	strand	signal	coverage	fraction	pvalue	qvalue	annotation	gene	external_gene_name	grouped_annotation
chr1	150555699	150555700	del:chr1:150555699:+	1000	+	8	21	0.381	3.684e-24	6.166e-21	Proximal intronic	ENSG00000143382.17	""	Genic
chr1	150555700	150555701	del:chr1:150555700:+	1000	+	8	22	0.3636	5.787e-24	6.166e-21	Proximal intronic	ENSG00000143382.17	""	Genic
chr1	145281185	145281186	del:chr1:145281185:+	1000	+	8	23	0.3478	8.872e-24	6.302e-21	Other exon	ENSG00000207501.1	RNVU1-14	Genic
chr1	95214870	95214871	del:chr1:95214870:+	1000	+	6	7	0.8571	1.947e-21	5.926e-19	LINE	ENSG00000271092.5	TLCD4-RWDD3	TE
chr1	95214871	95214872	del:chr1:95214871:+	1000	+	6	7	0.8571	1.947e-21	5.926e-19	LINE	ENSG00000271092.5	TLCD4-RWDD3	TE
chr1	95214872	95214873	del:chr1:95214872:+	1000	+	6	7	0.8571	1.947e-21	5.926e-19	LINE	ENSG00000271092.5	TLCD4-RWDD3	TE
chr1	95214873	95214874	del:chr1:95214873:+	1000	+	6	7	0.8571	1.947e-21	5.926e-19	LINE	ENSG00000271092.5	TLCD4-RWDD3	TE
chr1	65267885	65267886	del:chr1:65267885:+	1000	+	6	8	0.75	7.785e-21	1.508e-18	Satellite/LC	ENSG00000116675.16	DNAJC6	TE
chr1	65267886	65267887	del:chr1:65267886:+	1000	+	6	8	0.75	7.785e-21	1.508e-18	Satellite/LC	ENSG00000116675.16	DNAJC6	TE
chr1	65267887	65267888	del:chr1:65267887:+	1000	+	6	8	0.75	7.785e-21	1.508e-18	Satellite/LC	ENSG00000116675.16	DNAJC6	TE
chr1	65267888	65267889	del:chr1:65267888:+	1000	+	6	8	0.75	7.785e-21	1.508e-18	Satellite/LC	ENSG00000116675.16	DNAJC6	TE
chr1	65539124	65539125	del:chr1:65539124:+	1000	+	5	5	1	1.089e-18	1.933e-16	LINE	ENSG00000116678.20	LEPR	TE
chr1	145281184	145281185	del:chr1:145281184:+	1000	+	6	21	0.2857	1.504e-17	2.29e-15	Other exon	ENSG00000207501.1	RNVU1-14	Genic
chr1	145281186	145281187	del:chr1:145281186:+	1000	+	7	55	0.1273	1.427e-17	2.29e-15	Other exon	ENSG00000207501.1	RNVU1-14	Genic
chr1	29119820	29119821	del:chr1:29119820:+	1000	+	5	9	0.5556	1.371e-16	1.947e-14	3'UTR	ENSG00000159023.24	""	Genic
chr1	155003357	155003358	del:chr1:155003357:+	1000	+	5	10	0.5	2.74e-16	3.244e-14	3'UTR-distal	ENSG00000160685.15	""	Genic
chr1	228142145	228142146	del:chr1:228142145:+	1000	+	5	10	0.5	2.74e-16	3.244e-14	First intron	ENSG00000143774.19	""	Genic
chr1	228142146	228142147	del:chr1:228142146:+	1000	+	5	10	0.5	2.74e-16	3.244e-14	First intron	ENSG00000143774.19	""	Genic
chr1	1043224	1043225	del:chr1:1043224:+	1000	+	5	12	0.4167	8.609e-16	8.736e-14	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	55056939	55056940	del:chr1:55056939:+	1000	+	5	12	0.4167	8.609e-16	8.736e-14	Deep intronic	ENSG00000169174.14	""	Genic
chr1	228142144	228142145	del:chr1:228142144:+	1000	+	5	12	0.4167	8.609e-16	8.736e-14	First intron	ENSG00000143774.19	""	Genic
chr1	1043223	1043224	del:chr1:1043223:+	1000	+	5	13	0.3846	1.399e-15	1.355e-13	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	2291705	2291706	del:chr1:2291705:+	1000	+	4	6	0.6667	6.389e-14	5.236e-12	First intron	ENSG00000157933.12	""	Genic
chr1	65274665	65274666	del:chr1:65274665:+	1000	+	4	6	0.6667	6.389e-14	5.236e-12	LINE	ENSG00000116675.16	DNAJC6	TE
chr1	65274666	65274667	del:chr1:65274666:+	1000	+	4	6	0.6667	6.389e-14	5.236e-12	LINE	ENSG00000116675.16	DNAJC6	TE
chr1	65274667	65274668	del:chr1:65274667:+	1000	+	4	6	0.6667	6.389e-14	5.236e-12	LINE	ENSG00000116675.16	DNAJC6	TE
chr1	228215250	228215251	del:chr1:228215250:+	1000	+	4	8	0.5	2.98e-13	2.352e-11	Proximal intronic	ENSG00000154358.23	OBSCN	Genic
chr1	202181407	202181408	del:chr1:202181407:+	1000	+	4	10	0.4	8.937e-13	6.802e-11	Deep intronic	ENSG00000243323.8	PTPRVP	Genic
chr1	145281187	145281188	del:chr1:145281187:+	1000	+	6	120	0.05	9.909e-13	7.282e-11	Other exon	ENSG00000207501.1	RNVU1-14	Genic
chr1	1063661	1063662	del:chr1:1063661:+	1000	+	4	11	0.3636	1.404e-12	9.652e-11	3'UTR-distal	ENSG00000217801.13	""	Genic
chr1	1063662	1063663	del:chr1:1063662:+	1000	+	4	11	0.3636	1.404e-12	9.652e-11	3'UTR-distal	ENSG00000217801.13	""	Genic
chr1	1052768	1052769	del:chr1:1052768:+	862	+	4	23	0.1739	3.759e-11	2.356e-09	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1052769	1052770	del:chr1:1052769:+	862	+	4	23	0.1739	3.759e-11	2.356e-09	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1052770	1052771	del:chr1:1052770:+	862	+	4	23	0.1739	3.759e-11	2.356e-09	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	247332298	247332299	del:chr1:247332298:+	799	+	3	5	0.6	1.667e-10	1.015e-08	TSS-proximal	""	""	Genic
chr1	1052675	1052676	del:chr1:1052675:+	793	+	4	34	0.1176	1.964e-10	1.163e-08	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	46310255	46310256	del:chr1:46310255:+	772	+	4	39	0.1026	3.48e-10	1.901e-08	CDS	ENSG00000173660.13	""	Genic
chr1	46310256	46310257	del:chr1:46310256:+	772	+	4	39	0.1026	3.48e-10	1.901e-08	CDS	ENSG00000173660.13	""	Genic
chr1	46310257	46310258	del:chr1:46310257:+	772	+	4	39	0.1026	3.48e-10	1.901e-08	CDS	ENSG00000173660.13	""	Genic
chr1	202186347	202186348	del:chr1:202186347:+	670	+	3	12	0.25	3.663e-09	1.951e-07	Other exon	ENSG00000243323.8	PTPRVP	Genic
chr1	965666	965667	del:chr1:965666:+	624	+	3	17	0.1765	1.131e-08	5.739e-07	3'UTR	ENSG00000187961.16	""	Genic
chr1	965667	965668	del:chr1:965667:+	624	+	3	17	0.1765	1.131e-08	5.739e-07	3'UTR	ENSG00000187961.16	""	Genic
chr1	1052767	1052768	del:chr1:1052767:+	583	+	3	23	0.1304	2.942e-08	1.458e-06	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	21886374	21886375	del:chr1:21886374:-	1000	-	14	20	0.7	1.955e-46	4.388e-43	Deep intronic	ENSG00000142798.20	HSPG2	Genic
chr1	202757096	202757097	del:chr1:202757096:-	1000	-	13	17	0.7647	4.7e-44	3.517e-41	Deep intronic	ENSG00000117139.19	""	Genic
chr1	246428824	246428825	del:chr1:246428824:-	1000	-	13	17	0.7647	4.7e-44	3.517e-41	Other SINE	ENSG00000185420.19	SMYD3	TE
chr1	244863371	244863372	del:chr1:244863371:-	1000	-	15	52	0.2885	5.731e-42	3.217e-39	First intron	ENSG00000153187.22	""	Genic
chr1	244863372	244863373	del:chr1:244863372:-	1000	-	15	54	0.2778	1.106e-41	4.967e-39	First intron	ENSG00000153187.22	""	Genic
chr1	244863373	244863374	del:chr1:244863373:-	1000	-	14	59	0.2373	6.644e-38	2.486e-35	First intron	ENSG00000153187.22	""	Genic
chr1	244863370	244863371	del:chr1:244863370:-	1000	-	13	48	0.2708	3.782e-36	1.213e-33	First intron	ENSG00000153187.22	""	Genic
chr1	244863369	244863370	del:chr1:244863369:-	1000	-	12	48	0.25	5.344e-33	1.5e-30	First intron	ENSG00000153187.22	""	Genic
chr1	3502050	3502051	del:chr1:3502050:-	1000	-	10	17	0.5882	2.301e-32	5.74e-30	Proximal intronic	ENSG00000162591.18	""	Genic
chr1	182389553	182389554	del:chr1:182389553:-	1000	-	10	23	0.4348	1.352e-30	2.759e-28	3'UTR-distal	ENSG00000135821.20	GLUL	Genic
chr1	182389554	182389555	del:chr1:182389554:-	1000	-	10	23	0.4348	1.352e-30	2.759e-28	3'UTR-distal	ENSG00000135821.20	GLUL	Genic
chr1	51840391	51840392	del:chr1:51840391:-	1000	-	10	24	0.4167	2.317e-30	4.001e-28	CDS	ENSG00000078618.24	""	Genic
chr1	51840393	51840394	del:chr1:51840393:-	1000	-	10	24	0.4167	2.317e-30	4.001e-28	CDS	ENSG00000078618.24	""	Genic
chr1	51840392	51840393	del:chr1:51840392:-	1000	-	10	25	0.4	3.861e-30	6.191e-28	CDS	ENSG00000078618.24	""	Genic
chr1	3502049	3502050	del:chr1:3502049:-	1000	-	9	17	0.5294	1.126e-28	1.685e-26	Proximal intronic	ENSG00000162591.18	""	Genic
chr1	244863366	244863367	del:chr1:244863366:-	1000	-	10	36	0.2778	2.994e-28	4.202e-26	First intron	ENSG00000153187.22	""	Genic
chr1	244863365	244863366	del:chr1:244863365:-	1000	-	10	37	0.2703	4.103e-28	5.418e-26	First intron	ENSG00000153187.22	""	Genic
chr1	244863367	244863368	del:chr1:244863367:-	1000	-	10	38	0.2632	5.566e-28	6.943e-26	First intron	ENSG00000153187.22	""	Genic
chr1	244863368	244863369	del:chr1:244863368:-	1000	-	10	40	0.25	9.976e-28	1.179e-25	First intron	ENSG00000153187.22	""	Genic
chr1	182389405	182389406	del:chr1:182389405:-	1000	-	8	13	0.6154	2.334e-26	2.382e-24	3'UTR-distal	ENSG00000135821.20	GLUL	Genic
chr1	182389406	182389407	del:chr1:182389406:-	1000	-	8	13	0.6154	2.334e-26	2.382e-24	3'UTR-distal	ENSG00000135821.20	GLUL	Genic
chr1	182389407	182389408	del:chr1:182389407:-	1000	-	8	13	0.6154	2.334e-26	2.382e-24	3'UTR-distal	ENSG00000135821.20	GLUL	Genic
chr1	244863374	244863375	del:chr1:244863374:-	1000	-	10	57	0.1754	5.062e-26	4.941e-24	First intron	ENSG00000153187.22	""	Genic
chr1	182389408	182389409	del:chr1:182389408:-	1000	-	8	14	0.5714	5.445e-26	5.093e-24	3'UTR-distal	ENSG00000135821.20	GLUL	Genic
chr1	21620853	21620854	del:chr1:21620853:-	1000	-	8	17	0.4706	4.405e-25	3.955e-23	Satellite/LC	ENSG00000076864.22	""	TE
chr1	21620852	21620853	del:chr1:21620852:-	1000	-	8	18	0.4444	7.927e-25	6.844e-23	Satellite/LC	ENSG00000076864.22	""	TE
chr1	21620854	21620855	del:chr1:21620854:-	1000	-	8	19	0.4211	1.369e-24	1.098e-22	Satellite/LC	ENSG00000076864.22	""	TE
chr1	21620855	21620856	del:chr1:21620855:-	1000	-	8	19	0.4211	1.369e-24	1.098e-22	Satellite/LC	ENSG00000076864.22	""	TE
chr1	219927155	219927156	del:chr1:219927155:-	1000	-	7	10	0.7	8.522e-24	6.597e-22	First intron	ENSG00000196660.13	""	Genic
chr1	160307627	160307628	del:chr1:160307627:-	1000	-	7	12	0.5833	5.622e-23	4.071e-21	Deep intronic	ENSG00000122218.18	""	Genic
chr1	160307628	160307629	del:chr1:160307628:-	1000	-	7	12	0.5833	5.622e-23	4.071e-21	Deep intronic	ENSG00000122218.18	""	Genic
chr1	244863364	244863365	del:chr1:244863364:-	1000	-	8	37	0.2162	6.964e-22	4.885e-20	First intron	ENSG00000153187.22	""	Genic
chr1	111440989	111440990	del:chr1:111440989:-	1000	-	7	16	0.4375	8.113e-22	5.357e-20	3'UTR	ENSG00000116455.14	WDR77	Genic
chr1	111440990	111440991	del:chr1:111440990:-	1000	-	7	16	0.4375	8.113e-22	5.357e-20	3'UTR	ENSG00000116455.14	WDR77	Genic
chr1	1343257	1343258	del:chr1:1343257:-	1000	-	7	17	0.4118	1.379e-21	8.599e-20	3'UTR-distal	ENSG00000107404.22	""	Genic
chr1	1343258	1343259	del:chr1:1343258:-	1000	-	7	17	0.4118	1.379e-21	8.599e-20	3'UTR-distal	ENSG00000107404.22	""	Genic
chr1	20773852	20773853	del:chr1:20773852:-	1000	-	6	12	0.5	2.567e-19	1.557e-17	5'UTR	ENSG00000127483.21	""	Genic
chr1	20773848	20773849	del:chr1:20773848:-	1000	-	6	14	0.4286	8.338e-19	4.566e-17	5'UTR	ENSG00000127483.21	""	Genic
chr1	20773849	20773850	del:chr1:20773849:-	1000	-	6	14	0.4286	8.338e-19	4.566e-17	5'UTR	ENSG00000127483.21	""	Genic
chr1	20773850	20773851	del:chr1:20773850:-	1000	-	6	14	0.4286	8.338e-19	4.566e-17	5'UTR	ENSG00000127483.21	""	Genic
chr1	20773851	20773852	del:chr1:20773851:-	1000	-	6	14	0.4286	8.338e-19	4.566e-17	5'UTR	ENSG00000127483.21	""	Genic
chr1	950671	950672	del:chr1:950671:-	1000	-	5	5	1	1.089e-18	5.092e-17	Deep intronic	ENSG00000188976.12	""	Genic
chr1	61697557	61697558	del:chr1:61697557:-	1000	-	5	5	1	1.089e-18	5.092e-17	3'UTR	ENSG00000162604.14	""	Genic
chr1	61697558	61697559	del:chr1:61697558:-	1000	-	5	5	1	1.089e-18	5.092e-17	3'UTR	ENSG00000162604.14	""	Genic
chr1	61697559	61697560	del:chr1:61697559:-	1000	-	5	5	1	1.089e-18	5.092e-17	3'UTR	ENSG00000162604.14	""	Genic
