chr	start	end	name	score	strand	signal	coverage	fraction	pvalue	qvalue	annotation	gene	external_gene_name	grouped_annotation
chr1	11908149	11908150	trunc:chr1:11908149:+	1000	+	280	393	0.7125	0	0	Other exon	ENSG00000285646.3	""	Genic
chr1	28648597	28648598	trunc:chr1:28648597:+	1000	+	272	446	0.6099	0	0	Other exon	ENSG00000229388.2	TAF12-DT	Genic
chr1	112670376	112670377	trunc:chr1:112670376:+	1000	+	325	723	0.4495	0	0	3'UTR	ENSG00000116489.14	""	Genic
chr1	26475258	26475259	trunc:chr1:26475258:+	1000	+	913	2054	0.4445	0	0	3'UTR	ENSG00000198830.14	""	Genic
chr1	153645490	153645491	trunc:chr1:153645490:+	1000	+	306	690	0.4435	0	0	3'UTR	ENSG00000160679.14	CHTOP	Genic
chr1	161518627	161518628	trunc:chr1:161518627:+	1000	+	296	790	0.3747	0	0	3'UTR	ENSG00000143226.17	""	Genic
chr1	32680373	32680374	trunc:chr1:32680373:+	1000	+	473	1314	0.36	0	0	3'UTR	ENSG00000162521.19	RBBP4	Genic
chr1	112670380	112670381	trunc:chr1:112670380:+	1000	+	465	1938	0.2399	0	0	3'UTR	ENSG00000116489.14	""	Genic
chr1	26475259	26475260	trunc:chr1:26475259:+	1000	+	559	2621	0.2133	0	0	3'UTR	ENSG00000198830.14	""	Genic
chr1	193088189	193088190	trunc:chr1:193088189:+	1000	+	256	510	0.502	1.6688062651304e-308	1.6882378938804e-308	3'UTR	ENSG00000116747.14	""	Genic
chr1	225788430	225788431	trunc:chr1:225788430:+	1000	+	175	190	0.9211	3.467e-299	7.031e-295	Alu	ENSG00000143742.15	""	TE
chr1	28648598	28648599	trunc:chr1:28648598:+	1000	+	276	724	0.3812	1.224e-297	2.276e-293	Other exon	ENSG00000229388.2	TAF12-DT	Genic
chr1	112670375	112670376	trunc:chr1:112670375:+	1000	+	228	402	0.5672	1.202e-294	2.063e-290	3'UTR	ENSG00000116489.14	""	Genic
chr1	112670379	112670380	trunc:chr1:112670379:+	1000	+	349	1469	0.2376	5.038e-289	8.027e-285	3'UTR	ENSG00000116489.14	""	Genic
chr1	32680372	32680373	trunc:chr1:32680372:+	1000	+	278	834	0.3333	8.888e-280	1.322e-275	3'UTR	ENSG00000162521.19	RBBP4	Genic
chr1	193089819	193089820	trunc:chr1:193089819:+	1000	+	225	534	0.4213	4.787e-254	6.674e-250	3'UTR	ENSG00000116747.14	""	Genic
chr1	22091934	22091935	trunc:chr1:22091934:+	1000	+	231	605	0.3818	7.031e-240	9.225e-236	3'UTR	ENSG00000070831.19	""	Genic
chr1	193088188	193088189	trunc:chr1:193088188:+	1000	+	165	241	0.6846	3.344e-236	4.144e-232	3'UTR	ENSG00000116747.14	""	Genic
chr1	28508556	28508557	trunc:chr1:28508556:+	1000	+	154	216	0.713	1.949e-226	2.288e-222	3'UTR-distal	ENSG00000180198.18	""	Genic
chr1	193089818	193089819	trunc:chr1:193089818:+	1000	+	173	309	0.5599	2.286e-224	2.549e-220	3'UTR	ENSG00000116747.14	""	Genic
chr1	193089820	193089821	trunc:chr1:193089820:+	1000	+	229	764	0.2997	4.089e-218	4.343e-214	3'UTR	ENSG00000116747.14	""	Genic
chr1	26475257	26475258	trunc:chr1:26475257:+	1000	+	256	1133	0.2259	6.679e-218	6.772e-214	3'UTR	ENSG00000198830.14	""	Genic
chr1	32680371	32680372	trunc:chr1:32680371:+	1000	+	203	554	0.3664	1.001e-214	9.705e-211	3'UTR	ENSG00000162521.19	RBBP4	Genic
chr1	160671060	160671061	trunc:chr1:160671060:+	1000	+	172	274	0.6277	8.55e-210	7.946e-206	Other exon	ENSG00000228863.9	""	Genic
chr1	28507363	28507364	trunc:chr1:28507363:+	1000	+	149	229	0.6507	2.249e-209	2.007e-205	3'UTR-distal	ENSG00000180198.18	""	Genic
chr1	193089821	193089822	trunc:chr1:193089821:+	1000	+	243	1008	0.2411	6.955e-206	5.967e-202	3'UTR	ENSG00000116747.14	""	Genic
chr1	93362446	93362447	trunc:chr1:93362446:+	1000	+	156	325	0.48	1.232e-188	1.017e-184	3'UTR	ENSG00000117505.14	""	Genic
chr1	151399565	151399566	trunc:chr1:151399565:+	1000	+	125	173	0.7225	1.932e-184	1.539e-180	5'UTR	ENSG00000159377.12	""	Genic
chr1	11908148	11908149	trunc:chr1:11908148:+	1000	+	104	109	0.9541	2.986e-182	2.297e-178	Other exon	ENSG00000285646.3	""	Genic
chr1	24672671	24672672	trunc:chr1:24672671:+	1000	+	227	1092	0.2079	1.709e-175	1.271e-171	3'UTR	ENSG00000133226.20	""	Genic
chr1	193088190	193088191	trunc:chr1:193088190:+	1000	+	187	703	0.266	1.284e-167	9.238e-164	3'UTR	ENSG00000116747.14	""	Genic
chr1	10420407	10420408	trunc:chr1:10420407:+	1000	+	130	227	0.5727	5.109e-165	3.562e-161	3'UTR	ENSG00000142657.22	""	Genic
chr1	112670377	112670378	trunc:chr1:112670377:+	1000	+	202	924	0.2186	2.254e-160	1.524e-156	3'UTR	ENSG00000116489.14	""	Genic
chr1	207076264	207076265	trunc:chr1:207076264:+	1000	+	110	168	0.6548	5.439e-156	3.568e-152	3'UTR	ENSG00000123836.16	""	Genic
chr1	22091933	22091934	trunc:chr1:22091933:+	1000	+	147	374	0.393	1.321e-155	8.418e-152	3'UTR	ENSG00000070831.19	""	Genic
chr1	32680518	32680519	trunc:chr1:32680518:+	1000	+	186	822	0.2263	5.399e-153	3.345e-149	3'UTR	ENSG00000162521.19	RBBP4	Genic
chr1	32171249	32171250	trunc:chr1:32171249:+	1000	+	139	372	0.3737	1.333e-149	8.035e-146	3'UTR	ENSG00000025800.14	KPNA6	Genic
chr1	28506212	28506213	trunc:chr1:28506212:+	1000	+	140	399	0.3509	2.358e-146	1.384e-142	3'UTR-distal	ENSG00000180198.18	""	Genic
chr1	32680522	32680523	trunc:chr1:32680522:+	1000	+	225	1469	0.1532	1.295e-145	7.407e-142	3'UTR	ENSG00000162521.19	RBBP4	Genic
chr1	28648616	28648617	trunc:chr1:28648616:+	1000	+	229	1555	0.1473	7.422e-145	4.139e-141	Other exon	ENSG00000229388.2	TAF12-DT	Genic
chr1	161518626	161518627	trunc:chr1:161518626:+	1000	+	138	432	0.3194	1.475e-144	8.025e-141	3'UTR	ENSG00000143226.17	""	Genic
chr1	3772787	3772788	trunc:chr1:3772787:+	1000	+	90	114	0.7895	4.767e-143	2.532e-139	3'UTR-distal	ENSG00000235169.12	""	Genic
chr1	36304465	36304466	trunc:chr1:36304465:+	1000	+	119	256	0.4648	2.101e-142	1.09e-138	3'UTR	ENSG00000054118.16	""	Genic
chr1	24672987	24672988	trunc:chr1:24672987:+	1000	+	177	803	0.2204	5.192e-142	2.632e-138	3'UTR	ENSG00000133226.20	""	Genic
chr1	28648596	28648597	trunc:chr1:28648596:+	1000	+	103	170	0.6059	5.518e-140	2.735e-136	Other exon	ENSG00000229388.2	TAF12-DT	Genic
chr1	35921300	35921301	trunc:chr1:35921300:+	1000	+	114	235	0.4851	1.359e-139	6.59e-136	3'UTR	ENSG00000092847.15	""	Genic
chr1	112670378	112670379	trunc:chr1:112670378:+	1000	+	197	1119	0.1761	2.475e-137	1.174e-133	3'UTR	ENSG00000116489.14	""	Genic
chr1	32680517	32680518	trunc:chr1:32680517:+	1000	+	156	633	0.2464	7.553e-135	3.51e-131	3'UTR	ENSG00000162521.19	RBBP4	Genic
chr1	44775863	44775864	trunc:chr1:44775863:+	1000	+	85	103	0.8252	6.603e-133	3.006e-129	3'UTR-distal	ENSG00000142937.13	""	Genic
chr1	222733091	222733092	trunc:chr1:222733091:+	1000	+	100	199	0.5025	7.552e-133	3.369e-129	3'UTR	ENSG00000162819.13	""	Genic
chr1	153645491	153645492	trunc:chr1:153645491:+	1000	+	171	863	0.1981	4.03e-125	1.763e-121	3'UTR	ENSG00000160679.14	CHTOP	Genic
chr1	173488219	173488220	trunc:chr1:173488219:+	1000	+	87	136	0.6397	4.652e-122	1.996e-118	3'UTR	ENSG00000117592.10	""	Genic
chr1	225788318	225788319	trunc:chr1:225788318:+	1000	+	120	379	0.3166	1.561e-120	6.57e-117	Alu	ENSG00000143742.15	""	TE
chr1	11908150	11908151	trunc:chr1:11908150:+	1000	+	134	530	0.2528	8.317e-119	3.436e-115	Other exon	ENSG00000285646.3	""	Genic
