chr	start	end	name	score	strand	signal	coverage	fraction	pvalue	qvalue	annotation	gene	external_gene_name	grouped_annotation
chr1	109100194	109100195	trunc:chr1:109100194:+	1000	+	173	302	0.5728	1.336e-200	2.333e-195	3'UTR-distal	ENSG00000270066.4	""	Genic
chr1	109100193	109100194	trunc:chr1:109100193:+	1000	+	72	128	0.5625	1.11e-83	9.7e-79	3'UTR-distal	ENSG00000270066.4	""	Genic
chr1	109100195	109100196	trunc:chr1:109100195:+	1000	+	100	404	0.2475	1.421e-72	8.273e-68	3'UTR-distal	ENSG00000270066.4	""	Genic
chr1	28508556	28508557	trunc:chr1:28508556:+	1000	+	50	65	0.7692	3.911e-70	1.708e-65	3'UTR-distal	ENSG00000180198.18	""	Genic
chr1	28506046	28506047	trunc:chr1:28506046:+	1000	+	52	95	0.5474	1.004e-60	3.507e-56	3'UTR-distal	ENSG00000180198.18	""	Genic
chr1	64431452	64431453	trunc:chr1:64431452:+	1000	+	34	34	1	2.24e-57	6.522e-53	Alu	""	""	TE
chr1	28506212	28506213	trunc:chr1:28506212:+	1000	+	51	111	0.4595	2.122e-54	5.297e-50	3'UTR-distal	ENSG00000180198.18	""	Genic
chr1	28506213	28506214	trunc:chr1:28506213:+	1000	+	57	168	0.3393	1.738e-51	3.796e-47	3'UTR-distal	ENSG00000180198.18	""	Genic
chr1	110364516	110364517	trunc:chr1:110364516:+	1000	+	41	70	0.5857	3.822e-50	7.419e-46	Alu	ENSG00000224699.13	LAMTOR5-AS1	TE
chr1	28507363	28507364	trunc:chr1:28507363:+	1000	+	45	93	0.4839	1.677e-49	2.93e-45	3'UTR-distal	ENSG00000180198.18	""	Genic
chr1	155314200	155314201	trunc:chr1:155314200:+	1000	+	37	59	0.6271	5.853e-47	9.296e-43	Alu	ENSG00000160752.16	""	TE
chr1	11908193	11908194	trunc:chr1:11908193:+	1000	+	61	253	0.2411	3.101e-44	4.515e-40	Other exon	ENSG00000199347.2	RNU5E-1	Genic
chr1	169132135	169132136	trunc:chr1:169132135:+	1000	+	34	52	0.6538	1.438e-43	1.933e-39	3'UTR	ENSG00000143153.15	""	Genic
chr1	28507618	28507619	trunc:chr1:28507618:+	1000	+	51	169	0.3018	2.686e-43	3.352e-39	3'UTR-distal	ENSG00000180198.18	""	Genic
chr1	28509649	28509650	trunc:chr1:28509649:+	1000	+	37	72	0.5139	2.892e-42	3.369e-38	3'UTR-distal	ENSG00000180198.18	""	Genic
chr1	14969820	14969821	trunc:chr1:14969820:+	1000	+	29	36	0.8056	3.94e-42	4.302e-38	Alu	ENSG00000189337.17	KAZN	TE
chr1	71457720	71457721	trunc:chr1:71457720:+	1000	+	40	95	0.4211	5.647e-42	5.804e-38	Alu	ENSG00000229956.12	ZRANB2-DT	TE
chr1	91504117	91504118	trunc:chr1:91504117:+	1000	+	45	126	0.3571	1.538e-41	1.493e-37	Alu	ENSG00000097046.14	""	TE
chr1	28509299	28509300	trunc:chr1:28509299:+	1000	+	36	73	0.4932	2.643e-40	2.43e-36	3'UTR-distal	ENSG00000180198.18	""	Genic
