chr	start	end	name	score	strand	annotation	gene	external_gene_name	grouped_annotation	pval
chr10	3335169	3335170	CITS_2[gene=chr10_f_c692][PH=6][PH0=0.15][P=7.12e-06]	6	+	First intron	ENSG00000286610.2	""	Genic	7.12e-06
chr10	3359080	3359081	CITS_3[gene=chr10_f_c820][PH=6][PH0=0.29][P=1.75e-04]	6	+	Satellite/LC	ENSG00000286610.2	""	TE	0.000175
chr10	3447927	3447928	CITS_8[gene=chr10_f_c1261][PH=8][PH0=0.28][P=5.80e-07]	8	+	LINE	ENSG00000286610.2	""	TE	5.8e-07
chr10	3489955	3489956	CITS_11[gene=chr10_f_c1489][PH=5][PH0=0.14][P=1.37e-04]	5	+	Deep intronic	""	""	Genic	0.000137
chr10	3490212	3490213	CITS_12[gene=chr10_f_c1491][PH=7][PH0=0.27][P=5.80e-06]	7	+	Deep intronic	""	""	Genic	5.8e-06
chr10	3576268	3576269	CITS_13[gene=chr10_f_c1884][PH=6][PH0=0.21][P=3.19e-05]	6	+	Deep intronic	""	""	Genic	3.19e-05
chr10	5457136	5457137	CITS_17[gene=chr10_f_c2565][PH=23][PH0=0.88][P=1.00e-100]	23	+	3'UTR	ENSG00000173848.20	""	Genic	1e-100
chr10	11221944	11221945	CITS_22[gene=chr10_f_c3626][PH=7][PH0=0.45][P=5.94e-05]	7	+	Deep intronic	ENSG00000048740.20	""	Genic	5.94e-05
chr10	13871427	13871428	CITS_24[gene=chr10_f_c3998][PH=11][PH0=0.00][P=1.00e-100]	11	+	Deep intronic	""	""	Genic	1e-100
chr10	17237537	17237538	CITS_27[gene=chr10_f_c4490][PH=16][PH0=0.41][P=1.00e-100]	16	+	3'UTR	ENSG00000026025.17	""	Genic	1e-100
chr10	18675396	18675397	CITS_28[gene=chr10_f_c4981][PH=8][PH0=0.39][P=5.58e-06]	8	+	3'UTR	ENSG00000165997.6	""	Genic	5.58e-06
chr10	19053629	19053630	CITS_29[gene=chr10_f_c5072][PH=7][PH0=0.34][P=1.53e-05]	7	+	First intron	ENSG00000204740.11	MALRD1	Genic	1.53e-05
chr10	21481781	21481782	CITS_32[gene=chr10_f_c5340][PH=10][PH0=0.64][P=6.72e-07]	10	+	Other exon	ENSG00000199222.1	Y_RNA	Genic	6.72e-07
chr10	23451187	23451188	CITS_44[gene=chr10_f_c5581][PH=12][PH0=0.45][P=3.33e-11]	12	+	3'UTR-distal	ENSG00000287124.3	""	Genic	3.33e-11
chr10	28538196	28538197	CITS_50[gene=chr10_f_c6510][PH=6][PH0=0.01][P=1.00e-100]	6	+	Deep intronic	ENSG00000095787.27	""	Genic	1e-100
chr10	28540533	28540534	CITS_51[gene=chr10_f_c6510][PH=6][PH0=0.01][P=1.00e-100]	6	+	Deep intronic	ENSG00000095787.27	""	Genic	1e-100
chr10	28540610	28540611	CITS_52[gene=chr10_f_c6510][PH=5][PH0=0.01][P=4.29e-08]	5	+	Deep intronic	ENSG00000095787.27	""	Genic	4.29e-08
chr10	28542317	28542318	CITS_53[gene=chr10_f_c6510][PH=5][PH0=0.01][P=4.29e-08]	5	+	LINE	ENSG00000095787.27	""	TE	4.29e-08
chr10	28585556	28585557	CITS_59[gene=chr10_f_c6510][PH=6][PH0=0.01][P=1.00e-100]	6	+	Satellite/LC	ENSG00000095787.27	""	TE	1e-100
chr10	28585785	28585786	CITS_60[gene=chr10_f_c6510][PH=8][PH0=0.01][P=1.00e-100]	8	+	Deep intronic	ENSG00000095787.27	""	Genic	1e-100
chr10	29457450	29457451	CITS_64[gene=chr10_f_c6713][PH=5][PH0=0.24][P=6.02e-04]	5	+	Deep intronic	ENSG00000291093.2	SVIL-AS1	Genic	0.000602
chr10	31353689	31353690	CITS_65[gene=chr10_f_c7045][PH=8][PH0=0.71][P=1.21e-04]	8	+	First intron	ENSG00000148516.24	""	Genic	0.000121
chr10	42634814	42634815	CITS_69[gene=chr10_f_c8851][PH=5][PH0=0.00][P=1.00e-100]	5	+	LINE	""	""	TE	1e-100
chr10	46792427	46792428	CITS_73[gene=chr10_f_c9644][PH=5][PH0=0.18][P=1.66e-04]	5	+	Deep intronic	ENSG00000204177.13	BMS1P1	Genic	0.000166
chr10	47712039	47712040	CITS_77[gene=chr10_f_c9777][PH=8][PH0=0.00][P=1.00e-100]	8	+	Deep intronic	ENSG00000189014.7	SHLD2P3	Genic	1e-100
chr10	48435172	48435173	CITS_81[gene=chr10_f_c10028][PH=10][PH0=0.28][P=6.01e-10]	10	+	3'UTR	ENSG00000107643.18	""	Genic	6.01e-10
chr10	48436281	48436282	CITS_82[gene=chr10_f_c10038][PH=10][PH0=0.46][P=3.46e-08]	10	+	3'UTR	ENSG00000107643.18	""	Genic	3.46e-08
